bedfile	batch_vec
GSM3475955_KZ1324_GB1781_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475956_KZ1324_GB1782_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475957_KZ1324_GB1783_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475958_KZ1324_GB1784_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475959_KZ1324_GB1785_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475960_KZ1324_GB1786_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475961_KZ1324_GB1787_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475962_KZ1324_GB1788_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475963_KZ1324_GB1789_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475964_KZ1324_GB1790_sc1_0_30_mapq10_noDup_filtered.txt	4
GSM3475965_KZ1351_GB2101_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475966_KZ1351_GB2102_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475967_KZ1351_GB2103_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475970_KZ1351_GB2106_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475971_KZ1351_GB2107_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475972_KZ1351_GB2108_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475973_KZ1351_GB2109_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475974_KZ1351_GB2110_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475975_KZ1351_GB2111_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475976_KZ1351_GB2112_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475977_KZ1351_GB2113_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475978_KZ1351_GB2114_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475980_KZ1351_GB2116_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475981_KZ1351_GB2117_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475982_KZ1351_GB2118_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475984_KZ1351_GB2120_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475985_KZ1351_GB2121_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475986_KZ1351_GB2122_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475987_KZ1351_GB2123_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475988_KZ1351_GB2124_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475992_KZ1351_GB2128_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475993_KZ1351_GB2129_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475995_KZ1351_GB2131_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475998_KZ1351_GB2134_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3475999_KZ1351_GB2135_sc1_0_30_mapq10_noDup_filtered.txt	5
GSM3476001_KZ1352_GB2137_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476002_KZ1352_GB2138_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476003_KZ1352_GB2139_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476004_KZ1352_GB2140_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476005_KZ1352_GB2141_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476006_KZ1352_GB2142_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476007_KZ1352_GB2143_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476008_KZ1352_GB2144_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476010_KZ1352_GB2146_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476011_KZ1352_GB2147_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476012_KZ1352_GB2148_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476013_KZ1352_GB2149_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476014_KZ1352_GB2150_sc1_0_30_mapq10_noDup_filtered.txt	6
