bb7
1	1000
2	1000
3	1000
4	1
5	3
6	4
7	1
8	1000
9	1000
10	1000
11	3
12	1000
13	1000
14	1000
15	1
16	1000
17	1
18	1
19	1
20	3
21	1000
22	1000
23	1000
24	1000
25	1000
26	6
27	1
28	1000
29	1000
30	1000
31	6
32	7
33	6
34	1000
35	6
36	3
37	3
38	1000
39	1000
40	3
41	1000
42	6
43	1
44	3
45	6
46	6
47	1000
48	1000
49	7
50	1000
51	1000
52	1000
53	1000
54	1000
55	1000
56	1000
57	6
58	1000
59	1
60	3
61	1000
62	1000
63	3
64	1
65	1000
66	1000
67	3
68	1000
69	1000
70	3
71	4
72	1000
73	4
74	1000
75	6
76	1000
77	1000
78	1000
79	1000
80	4
81	6
82	1000
83	7
84	1000
85	6
86	7
87	3
88	1000
89	1000
90	1000
91	1000
92	1
93	6
94	1000
95	1000
96	1000
97	1000
98	1000
99	1000
100	7
101	1000
102	1000
103	1000
104	1000
105	3
106	6
107	3
108	3
109	1000
110	1000
111	7
112	1000
113	7
114	6
115	1000
116	1
117	6
118	1000
119	1000
120	7
121	3
122	1000
123	1000
124	7
125	1000
126	1
127	1
128	1000
129	7
130	1
131	1000
132	1000
133	6
134	6
135	1000
136	1000
137	6
138	1000
139	1000
140	6
141	1
142	1000
143	1
144	6
145	1000
146	1000
147	1000
148	1000
149	1000
150	1000
151	1000
152	1
153	1000
154	1000
155	1000
156	1000
157	3
158	1000
159	1000
160	1000
161	7
162	1
163	1000
164	1
165	1
166	1
167	1
168	1000
169	1000
170	7
171	1000
172	6
173	1
174	1000
175	7
176	1000
177	1000
178	7
179	3
180	1000
181	1
182	6
183	1000
184	1000
185	1
186	1000
187	6
188	1000
189	1000
190	1000
191	1
192	1000
193	6
194	1000
195	1000
196	1000
197	1000
198	1000
199	1
200	1000
201	1
202	1000
203	1
204	6
205	1
206	3
207	3
208	7
209	1
210	1
211	7
212	1
213	6
214	1000
215	1000
216	1000
217	1000
218	1000
219	3
220	3
221	7
222	6
223	6
224	6
225	1
226	1000
227	7
228	1000
229	3
230	3
231	3
232	1000
233	1000
234	7
235	1
236	3
237	6
238	1000
239	3
240	7
241	6
242	1
243	1000
244	1
245	3
246	7
247	1000
248	1
249	1000
250	1000
251	1000
252	6
253	3
254	1000
255	1000
256	1000
257	3
258	1
259	3
260	1000
261	1
262	6
263	6
264	7
265	1000
266	1
267	1000
268	1000
269	6
270	1
271	7
272	1000
273	1
274	6
275	6
276	1000
277	7
278	1000
279	1000
280	1000
281	1000
282	7
283	3
284	6
285	1000
286	1
287	1000
288	7
289	3
290	1
291	1000
292	1000
293	1
294	7
295	1000
296	1000
297	1000
298	6
299	1000
300	1000
301	1
302	7
303	3
304	7
305	1
306	1000
307	1000
308	1000
309	3
310	1000
311	1000
312	3
313	3
314	1
315	1
316	6
317	1000
318	3
319	1
320	1000
321	1
322	1000
323	6
324	1000
325	1000
326	3
327	1
328	1000
