"KZ1279_GB1420_0_0_mapq10_noDup.bed" "KZ1279_GB1422_0_0_mapq10_noDup.bed" "KZ1279_GB1424_0_0_mapq10_noDup.bed"
"312" 80 8 11
"313" 27 4 2
"314" 7 3 0
"315" 4 2 1
"316" 89 11 4
"317" 191 30 11
"318" 2 4 5
"319" 8 13 8
"320" 2 0 0
"321" 19 1 1
"322" 8 1 0
"323" 15 4 2
"324" 293 52 7
"325" 5 2 0
"326" 43 17 4
"327" 143 27 25
"328" 5 1 1
"329" 1 3 0
"330" 9 2 0
"331" 66 7 12
"332" 15 5 2
"333" 131 9 9
"334" 55 10 4
"335" 20 9 4
"336" 13 9 2
"337" 19 6 2
"338" 5 1 2
"339" 182 32 21
"340" 124 30 33
"341" 110 14 11
"342" 130 17 9
"343" 105 22 7
"344" 62 8 13
"345" 8 2 0
"346" 209 20 40
"347" 27 4 6
"348" 98 11 15
"349" 27 5 10
"350" 19 8 1
"351" 116 31 18
"352" 33 7 4
"353" 68 10 21
"354" 12 1 2
"355" 18 5 0
"356" 20 3 2
"357" 225 54 18
"358" 18 3 0
"359" 14 3 4
"360" 141 32 20
"361" 202 43 11
"362" 164 35 14
"363" 140 23 10
"364" 4 8 2
"365" 104 18 15
"366" 10 2 0
"367" 82 19 11
"368" 73 8 10
"369" 70 13 3
"370" 124 31 13
"371" 19 6 20
"372" 3 4 4
"373" 8 4 4
"374" 22 3 7
"375" 6 2 2
"376" 14 5 7
"377" 1 4 0
"378" 2 1 0
"379" 2 1 1
"380" 20 3 0
"381" 380 50 3
"382" 23 5 0
"383" 156 28 26
"384" 225 52 35
"385" 10 5 2
"386" 5 9 2
"387" 14 12 2
"388" 55 14 13
"389" 232 21 29
"390" 4 1 0
"391" 18 5 0
"392" 27 9 1
"393" 168 33 18
"394" 176 31 20
"395" 41 1 0
"396" 146 35 16
"397" 20 8 3
"398" 124 62 19
"399" 50 7 6
"400" 23 1 0
"401" 122 12 31
"402" 105 18 12
"403" 1 7 0
"404" 1 4 0
"405" 60 16 17
"406" 115 18 25
"407" 76 9 21
"408" 58 12 18
"409" 6 1 0
"410" 3 1 3
"411" 4 3 1
"412" 116 18 19
"413" 3 6 1
"414" 16 1 0
"415" 109 18 28
"416" 11 2 0
"417" 9 0 0
"418" 89 6 15
"419" 253 31 6
"420" 12 1 0
"421" 103 22 4
"422" 17 7 4
"423" 31 7 1
"424" 79 5 6
"425" 29 9 5
"426" 37 11 11
"427" 53 6 5
"428" 70 9 7
"429" 31 4 1
"430" 69 8 8
"431" 8 3 1
"432" 138 28 24
"433" 15 29 5
"434" 4 5 0
"435" 12 8 0
"436" 14 4 1
"437" 34 6 1
"438" 22 6 2
"439" 26 11 2
"440" 9 6 4
"441" 152 22 3
"442" 22 8 1
"443" 7 5 0
"444" 9 12 5
"445" 16 4 1
"446" 199 27 30
"447" 141 30 14
"448" 70 10 2
"449" 155 19 4
"450" 19 9 5
"451" 54 26 5
"452" 149 34 19
"453" 72 18 16
"454" 118 18 14
"455" 122 30 8
"456" 61 12 5
"457" 59 7 3
"458" 2 2 1
"459" 1 5 1
"460" 2 8 0
"461" 6 14 8
"462" 35 9 8
"463" 11 16 3
"464" 12 9 5
"465" 19 7 1
"466" 62 11 3
"467" 158 16 27
"468" 38 10 9
"469" 46 12 7
"470" 155 25 16
"471" 243 31 24
"472" 91 22 25
"473" 31 4 5
"474" 100 21 11
"475" 113 20 3
"476" 28 4 2
"477" 113 21 14
"478" 6 3 0
"479" 6 8 2
"480" 71 20 2
"481" 24 3 1
"482" 70 9 6
"483" 19 8 1
"484" 16 3 4
"485" 88 18 5
"486" 5 4 1
"487" 145 26 1
"488" 82 9 14
"489" 55 16 2
"490" 6 0 0
"491" 7 1 0
"492" 4 2 1
"493" 8 3 0
"494" 205 45 3
"495" 28 0 2
"496" 10 2 0
"497" 12 2 0
"498" 11 4 0
"499" 21 6 2
"500" 4 5 0
"501" 1 6 1
"502" 12 6 0
"503" 7 5 1
"504" 117 38 12
"505" 28 4 3
"506" 150 24 20
"507" 31 6 2
"508" 9 2 2
"509" 7 0 0
"510" 4 0 0
"511" 7 16 22
"512" 3 0 5
"513" 126 20 9
"514" 43 4 4
"515" 13 10 1
"516" 11 4 0
"517" 6 1 0
"518" 5 1 2
"519" 119 33 16
"520" 2 0 6
"521" 12 12 21
"522" 9 2 0
"523" 6 1 1
"524" 534 73 22
"525" 89 13 9
"526" 12 3 2
"527" 104 14 10
"528" 6 0 0
"529" 11 5 2
"530" 132 19 11
"531" 6 7 0
"532" 11 5 1
"533" 14 4 1
"534" 5 6 1
"535" 4 14 0
"536" 184 53 25
"537" 23 4 1
"538" 12 10 2
"539" 72 19 8
"540" 62 13 6
"541" 11 4 1
"542" 22 4 1
"543" 11 3 0
"544" 17 7 0
"545" 185 34 7
"546" 131 39 15
"547" 77 15 10
"548" 37 5 4
"549" 16 1 2
"550" 43 14 5
"551" 22 9 0
"552" 291 92 47
"553" 20 4 4
"554" 63 5 4
"555" 26 4 13
"556" 67 5 10
"557" 14 6 2
"558" 126 20 10
"559" 93 21 8
"560" 14 1 2
"561" 21 10 2
"562" 19 6 1
"563" 1 2 0
"564" 202 31 28
"565" 86 14 4
"566" 2 19 2
"567" 243 41 21
"568" 67 10 6
"569" 171 25 17
"570" 16 2 1
"571" 90 14 10
"572" 89 13 17
"573" 74 19 6
"574" 31 6 5
"575" 290 71 37
"576" 81 16 11
"577" 49 20 6
"578" 31 6 1
"579" 1 10 1
"580" 46 9 8
"581" 9 9 4
"582" 114 22 11
"583" 0 3 1
"584" 9 8 2
"585" 70 20 4
"586" 129 5 6
"587" 0 5 0
"588" 16 5 0
"589" 26 7 13
"590" 14 11 1
"591" 45 10 7
"592" 131 32 18
"593" 25 3 3
"594" 21 1 0
"595" 45 4 2
"596" 5 2 0
"597" 1 2 1
"598" 100 27 20
"599" 145 57 45
"600" 46 15 11
"601" 47 19 15
"602" 388 56 123
"603" 52 16 8
"604" 13 3 1
"605" 9 2 3
"606" 16 5 6
"607" 253 28 35
"608" 111 30 14
"609" 14 1 1
"610" 132 34 2
"611" 22 3 0
"612" 18 19 2
"613" 10 1 1
"614" 7 2 0
"615" 4 17 0
"616" 1 1 0
"617" 148 27 5
"618" 68 11 9
"619" 48 11 0
"620" 144 7 0
"621" 14 8 0
"622" 108 11 1
"623" 15 3 0
"624" 149 29 44
"625" 12 2 4
"626" 10 2 2
"627" 6 3 3
"628" 2 1 2
"629" 17 16 10
"630" 149 27 9
"631" 15 21 6
"632" 29 11 1
"633" 1 3 2
"634" 108 14 10
"635" 98 29 11
"636" 93 19 12
"637" 67 15 11
"638" 79 21 13
"639" 355 34 3
"640" 46 6 2
"641" 5 2 0
"642" 9 2 1
"643" 126 24 15
"644" 8 3 0
"645" 96 20 12
"646" 138 18 10
"647" 18 5 1
"648" 15 4 0
"649" 113 23 11
"650" 10 13 9
"651" 11 23 12
"652" 90 19 9
"653" 7 14 1
"654" 95 13 3
"655" 23 7 5
"656" 139 48 23
"657" 137 22 13
"658" 181 38 17
"659" 85 10 5
"660" 106 21 13
"661" 1 3 2
"662" 106 18 4
"663" 138 26 9
"664" 156 32 21
"665" 65 17 6
"666" 12 7 8
"667" 35 6 0
"668" 2 1 0
"669" 2 2 1
"670" 5 4 2
"671" 67 14 8
"672" 20 11 68
"673" 0 6 0
"674" 198 31 16
"675" 4 4 0
"676" 147 21 22
"677" 15 2 0
"678" 144 22 14
"679" 6 1 4
"680" 2 0 0
"681" 6 1 0
"682" 135 8 8
"683" 6 0 0
"684" 17 5 9
"685" 7 0 0
"686" 5 2 0
"687" 3 11 2
"688" 200 30 21
"689" 21 19 5
"690" 15 3 2
"691" 33 1 1
"692" 2 0 2
"693" 396 43 31
"694" 17 5 0
"695" 182 23 12
"696" 15 2 0
"697" 40 7 1
"698" 4 8 3
"699" 188 34 38
"700" 146 23 24
"701" 126 19 15
"702" 10 2 0
"703" 59 11 14
"704" 7 6 3
"705" 6 5 1
"706" 93 24 13
"707" 145 29 13
"708" 9 7 3
"709" 208 23 22
"710" 12 4 2
"711" 11 6 10
"712" 7 11 1
"713" 14 8 5
"714" 22 9 5
"715" 9 4 1
"716" 4 4 3
"717" 15 4 0
"718" 10 5 3
"719" 64 37 6
"720" 50 14 3
"721" 10 5 2
"722" 5 4 1
"723" 20 4 1
"724" 5 5 1
"725" 13 17 2
"726" 19 4 1
"727" 96 13 11
"728" 8 11 8
"729" 78 12 8
"730" 88 14 9
"731" 42 7 7
"732" 17 4 0
"733" 30 12 6
"734" 24 4 1
"735" 193 23 15
"736" 18 3 1
"737" 32 4 1
"738" 94 11 6
"739" 17 3 0
"740" 2 2 0
"741" 19 3 2
"742" 93 5 3
"743" 316 42 7
"744" 7 1 1
"745" 36 5 1
"746" 140 16 19
"747" 14 2 0
"748" 42 8 2
"749" 135 19 16
"750" 12 5 1
"751" 84 11 11
"752" 3 1 0
"753" 17 0 2
"754" 186 33 23
"755" 144 26 6
"756" 7 3 1
"757" 8 2 2
"758" 3 1 0
"759" 10 6 2
"760" 9 1 0
"761" 10 1 0
"762" 5 4 0
"763" 9 3 0
