"KZ1279_GB1420_0_0_mapq10_noDup.bed" "KZ1279_GB1422_0_0_mapq10_noDup.bed" "KZ1279_GB1424_0_0_mapq10_noDup.bed"
"5970" 110 24 22
"5971" 182 14 15
"5972" 491 57 23
"5973" 130 19 5
"5974" 103 16 11
"5975" 288 29 16
"5976" 28 6 1
"5977" 215 17 18
"5978" 20 7 0
"5979" 150 16 9
"5980" 41 6 5
"5981" 120 9 10
"5982" 286 42 26
"5983" 74 25 12
"5984" 173 25 14
"5985" 72 15 3
"5986" 236 36 20
"5987" 23 4 1
"5988" 225 27 13
"5989" 125 25 2
"5990" 157 25 11
"5991" 14 1 0
"5992" 29 6 5
"5993" 134 23 9
"5994" 27 20 4
"5995" 19 5 4
"5996" 9 7 1
"5997" 9 3 1
"5998" 21 5 5
"5999" 182 39 16
"6000" 133 21 6
"6001" 10 8 0
"6002" 141 23 14
"6003" 203 18 17
"6004" 327 52 23
"6005" 229 49 18
"6006" 139 21 5
"6007" 88 11 4
"6008" 31 9 5
"6009" 27 5 4
"6010" 17 5 0
"6011" 44 16 2
"6012" 112 20 6
"6013" 109 14 12
"6014" 29 10 3
"6015" 18 10 3
"6016" 21 13 1
"6017" 7 2 3
"6018" 7 3 0
"6019" 2 1 0
"6020" 0 4 0
"6021" 3 11 2
"6022" 100 7 19
"6023" 109 22 12
"6024" 21 9 4
"6025" 34 5 1
"6026" 154 41 12
"6027" 344 49 15
"6028" 138 25 12
"6029" 468 45 18
"6030" 1 9 0
"6031" 11 10 0
"6032" 52 9 2
"6033" 154 19 5
"6034" 26 7 0
"6035" 151 20 19
"6036" 0 3 1
"6037" 33 13 3
"6038" 36 3 2
"6039" 35 6 4
"6040" 184 21 16
"6041" 203 14 12
"6042" 225 46 6
"6043" 13 1 1
"6044" 45 12 4
"6045" 18 9 2
"6046" 17 6 6
"6047" 19 7 2
"6048" 128 15 12
"6049" 8 5 1
"6050" 17 1 0
"6051" 11 2 0
"6052" 16 5 4
"6053" 19 7 1
"6054" 316 92 29
"6055" 34 3 2
"6056" 25 2 0
"6057" 154 14 22
"6058" 25 5 3
"6059" 76 11 5
"6060" 241 45 17
"6061" 318 56 21
"6062" 89 15 9
"6063" 6 0 1
"6064" 17 1 2
"6065" 27 7 6
"6066" 9 7 1
"6067" 14 9 3
"6068" 39 26 23
"6069" 13 1 4
"6070" 28 4 4
"6071" 30 9 2
"6072" 7 2 2
"6073" 22 4 2
"6074" 159 26 11
"6075" 23 4 3
"6076" 39 10 8
"6077" 30 12 5
"6078" 32 3 0
"6079" 145 19 7
"6080" 25 0 2
"6081" 9 3 1
"6082" 50 7 2
"6083" 19 3 0
"6084" 70 7 1
"6085" 5 5 0
"6086" 5 3 3
"6087" 8 11 1
"6088" 66 7 3
"6089" 28 3 2
"6090" 123 14 10
"6091" 78 16 3
"6092" 311 45 21
"6093" 20 4 0
"6094" 27 11 1
"6095" 43 14 2
"6096" 23 6 4
"6097" 8 3 6
"6098" 31 8 1
"6099" 49 11 3
"6100" 9 3 2
"6101" 37 9 3
"6102" 6 1 2
"6103" 2 8 0
"6104" 22 2 5
"6105" 130 22 10
"6106" 57 13 7
"6107" 30 11 4
"6108" 4 3 4
"6109" 33 9 2
"6110" 20 4 1
"6111" 47 8 0
"6112" 143 13 8
"6113" 95 8 8
"6114" 45 7 13
"6115" 143 13 10
"6116" 15 1 3
"6117" 16 8 3
"6118" 22 6 0
"6119" 162 21 12
"6120" 284 30 23
"6121" 28 8 4
"6122" 16 2 0
"6123" 11 2 0
"6124" 136 21 4
"6125" 262 38 27
"6126" 23 5 1
"6127" 26 3 3
"6128" 114 23 20
"6129" 10 4 2
"6130" 24 25 5
"6131" 173 22 7
"6132" 20 4 1
"6133" 48 7 1
"6134" 16 7 0
"6135" 92 16 9
"6136" 46 12 3
"6137" 4 1 0
"6138" 32 4 2
"6139" 188 21 8
"6140" 9 17 1
"6141" 260 35 10
"6142" 35 7 0
"6143" 51 10 4
"6144" 118 6 17
"6145" 248 33 14
"6146" 3 9 2
"6147" 141 19 6
"6148" 176 29 11
"6149" 31 3 1
"6150" 32 6 3
"6151" 87 14 1
"6152" 265 27 7
"6153" 20 0 1
"6154" 33 7 2
"6155" 37 6 1
"6156" 8 6 0
"6157" 26 4 3
"6158" 22 5 0
"6159" 24 4 2
"6160" 23 4 1
"6161" 38 15 4
"6162" 14 7 0
"6163" 12 10 3
"6164" 28 8 0
"6165" 368 41 15
"6166" 641 44 20
"6167" 55 9 2
"6168" 178 20 14
"6169" 103 4 4
"6170" 130 13 9
"6171" 175 14 14
"6172" 238 33 15
"6173" 18 11 6
"6174" 24 4 0
"6175" 28 3 1
"6176" 17 3 1
"6177" 1 0 0
"6178" 242 39 11
"6179" 102 13 4
"6180" 1 2 0
"6181" 16 1 2
"6182" 22 7 2
"6183" 40 6 4
"6184" 29 5 4
"6185" 78 15 2
"6186" 219 32 11
"6187" 206 25 10
"6188" 121 11 7
"6189" 37 13 1
"6190" 270 40 25
"6191" 28 3 4
"6192" 48 9 3
"6193" 8 4 2
"6194" 13 3 1
"6195" 21 8 0
"6196" 19 8 4
"6197" 2 7 0
"6198" 14 0 2
"6199" 7 0 0
"6200" 17 2 1
"6201" 21 10 4
"6202" 17 4 3
"6203" 51 5 2
"6204" 35 12 3
"6205" 22 8 3
"6206" 11 4 0
"6207" 31 7 1
"6208" 45 5 7
"6209" 165 17 4
"6210" 138 13 10
"6211" 145 11 7
"6212" 264 32 16
"6213" 91 11 6
"6214" 53 4 1
"6215" 208 33 10
"6216" 14 9 3
"6217" 266 26 22
"6218" 18 2 1
"6219" 64 11 2
"6220" 857 96 42
"6221" 6 6 0
"6222" 42 13 4
"6223" 137 15 15
"6224" 158 23 11
"6225" 102 18 5
"6226" 73 10 2
"6227" 24 3 1
"6228" 92 14 4
"6229" 34 4 0
"6230" 93 14 5
"6231" 15 2 1
"6232" 28 4 0
"6233" 81 23 5
"6234" 203 22 9
"6235" 8 7 3
"6236" 286 31 12
"6237" 89 5 10
"6238" 13 4 1
"6239" 353 47 24
"6240" 90 16 7
"6241" 71 11 7
"6242" 84 7 6
"6243" 12 6 0
"6244" 9 2 1
"6245" 29 5 5
"6246" 10 10 2
"6247" 132 27 13
"6248" 19 7 0
"6249" 12 9 1
"6250" 85 7 1
"6251" 236 12 0
"6252" 108 10 4
"6253" 23 6 2
"6254" 8 2 1
"6255" 9 2 0
"6256" 6 1 1
"6257" 3 5 2
"6258" 19 3 3
"6259" 83 11 2
"6260" 11 3 1
"6261" 34 8 5
"6262" 71 13 2
"6263" 57 16 7
"6264" 19 3 1
"6265" 11 7 1
"6266" 8 6 4
"6267" 16 1 1
"6268" 20 1 3
"6269" 70 7 7
"6270" 462 34 16
"6271" 244 27 14
"6272" 119 17 9
"6273" 13 2 1
"6274" 49 4 6
"6275" 11 4 2
"6276" 68 14 2
"6277" 183 23 6
"6278" 119 13 4
"6279" 203 24 7
"6280" 27 5 1
"6281" 141 20 5
"6282" 18 7 2
"6283" 90 16 4
"6284" 260 30 8
"6285" 60 3 3
"6286" 64 10 2
"6287" 24 10 0
"6288" 14 6 0
"6289" 310 44 11
"6290" 21 14 1
"6291" 29 9 2
"6292" 25 6 2
"6293" 22 17 4
"6294" 85 31 4
"6295" 156 24 4
"6296" 59 13 2
"6297" 258 17 16
"6298" 163 41 8
"6299" 42 5 1
"6300" 3 2 1
"6301" 11 2 0
"6302" 30 7 1
"6303" 118 19 15
"6304" 12 12 2
"6305" 70 12 4
"6306" 173 26 6
"6307" 156 24 8
"6308" 89 28 8
"6309" 60 16 28
"6310" 5 2 1
"6311" 10 4 3
"6312" 275 38 7
"6313" 88 12 10
"6314" 104 14 10
"6315" 133 21 16
"6316" 188 24 11
"6317" 106 13 8
"6318" 278 36 18
"6319" 3 3 0
"6320" 38 4 5
"6321" 83 9 7
"6322" 46 14 15
"6323" 218 26 22
"6324" 13 10 3
"6325" 17 4 7
"6326" 5 1 0
"6327" 32 10 2
"6328" 17 10 3
"6329" 7 7 3
"6330" 9 4 2
"6331" 33 3 2
"6332" 15 2 1
"6333" 198 14 7
"6334" 200 27 11
"6335" 54 5 2
"6336" 23 10 3
"6337" 123 15 4
"6338" 11 3 2
"6339" 6 2 3
"6340" 23 20 1
"6341" 173 24 11
"6342" 75 18 4
"6343" 14 7 1
"6344" 28 2 0
"6345" 201 44 10
"6346" 8 5 3
"6347" 7 4 1
"6348" 35 3 4
"6349" 15 4 3
"6350" 68 19 47
"6351" 13 2 3
"6352" 4 0 0
"6353" 13 6 6
"6354" 10 0 1
"6355" 14 5 2
"6356" 7 4 1
"6357" 18 8 0
"6358" 22 16 5
"6359" 50 11 4
"6360" 100 21 6
"6361" 1 8 1
"6362" 36 22 6
"6363" 6 20 5
"6364" 12 5 1
"6365" 1 1 1
"6366" 0 1 0
"6367" 81 15 7
"6368" 93 20 10
"6369" 20 8 2
"6370" 100 20 6
"6371" 14 1 0
"6372" 90 22 11
"6373" 61 10 6
"6374" 71 18 4
"6375" 117 35 8
"6376" 35 11 1
"6377" 67 19 11
"6378" 19 7 0
"6379" 102 21 7
"6380" 172 61 7
"6381" 70 15 5
"6382" 172 51 31
"6383" 51 17 4
"6384" 15 7 2
"6385" 9 4 0
"6386" 10 4 3
"6387" 7 5 3
"6388" 64 27 3
"6389" 3 2 2
"6390" 2 1 2
"6391" 63 33 6
"6392" 68 16 8
"6393" 67 25 12
"6394" 43 2 4
"6395" 80 22 8
"6396" 46 19 6
"6397" 3 1 0
"6398" 4 4 1
"6399" 5 6 2
"6400" 3 6 3
"6401" 18 9 7
"6402" 9 7 6
"6403" 13 6 1
"6404" 50 10 2
"6405" 13 4 2
"6406" 92 28 19
"6407" 9 8 5
"6408" 34 13 4
"6409" 39 19 4
"6410" 16 9 3
"6411" 63 26 10
"6412" 35 7 7
"6413" 31 19 2
"6414" 150 35 10
"6415" 13 7 2
"6416" 89 15 4
"6417" 18 23 7
"6418" 1 3 2
"6419" 38 15 6
"6420" 32 21 3
"6421" 58 22 11
"6422" 8 16 1
"6423" 6 4 2
"6424" 10 7 8
"6425" 107 31 27
"6426" 3 5 1
"6427" 27 12 2
"6428" 54 22 12
"6429" 9 5 9
"6430" 173 86 29
"6431" 56 20 13
"6432" 22 7 5
"6433" 4 20 8
"6434" 11 6 2
"6435" 9 8 4
"6436" 10 3 2
"6437" 6 10 2
"6438" 44 18 6
"6439" 26 9 3
"6440" 13 18 1
"6441" 5 4 0
"6442" 11 4 3
"6443" 53 27 32
"6444" 32 10 7
"6445" 13 6 5
"6446" 109 22 12
"6447" 42 19 7
"6448" 13 6 0
"6449" 56 17 11
"6450" 79 35 8
"6451" 17 18 5
"6452" 26 8 5
"6453" 57 17 13
"6454" 8 6 0
"6455" 10 2 7
"6456" 17 6 8
"6457" 8 7 2
"6458" 18 10 0
"6459" 79 18 9
"6460" 47 20 1
"6461" 14 5 0
"6462" 12 23 9
"6463" 11 10 6
"6464" 6 5 1
"6465" 11 7 10
"6466" 106 21 16
"6467" 7 4 3
"6468" 62 16 14
"6469" 7 1 0
"6470" 11 5 0
"6471" 45 11 10
"6472" 132 42 18
"6473" 36 10 8
"6474" 28 26 17
"6475" 6 2 0
"6476" 1 2 1
"6477" 130 45 8
"6478" 10 6 2
"6479" 79 28 13
"6480" 8 3 0
"6481" 0 0 0
"6482" 1 3 2
"6483" 38 19 3
"6484" 8 2 1
"6485" 10 12 12
"6486" 3 3 0
"6487" 5 1 0
"6488" 3 5 1
"6489" 8 2 1
"6490" 5 0 2
"6491" 7 4 1
"6492" 7 8 1
"6493" 11 9 4
"6494" 87 25 12
"6495" 65 22 9
"6496" 12 8 5
"6497" 22 10 10
"6498" 79 10 7
"6499" 51 13 5
"6500" 83 28 12
"6501" 73 22 9
"6502" 46 20 13
"6503" 47 16 6
"6504" 3 3 2
"6505" 108 45 15
"6506" 7 0 1
"6507" 10 6 2
"6508" 27 6 1
"6509" 50 15 2
"6510" 30 10 4
"6511" 194 35 15
"6512" 83 16 7
"6513" 16 11 3
"6514" 21 6 3
"6515" 46 13 2
"6516" 28 29 6
"6517" 91 19 9
"6518" 101 28 22
"6519" 3 8 0
"6520" 7 5 1
"6521" 57 10 5
"6522" 55 23 5
"6523" 54 20 7
"6524" 18 10 2
"6525" 77 26 6
"6526" 39 14 6
"6527" 3 8 0
"6528" 7 6 5
"6529" 54 17 8
"6530" 16 5 6
"6531" 58 16 10
"6532" 11 3 0
"6533" 105 26 4
"6534" 15 14 0
"6535" 28 9 0
"6536" 5 2 0
"6537" 71 41 9
"6538" 5 6 1
"6539" 19 7 4
"6540" 8 5 4
"6541" 3 2 2
"6542" 1 0 0
"6543" 66 17 8
"6544" 5 1 3
"6545" 13 3 1
"6546" 49 20 8
"6547" 88 29 12
"6548" 7 7 5
"6549" 6 6 2
"6550" 0 5 0
"6551" 43 28 5
"6552" 10 13 4
"6553" 3 4 1
"6554" 57 7 2
"6555" 6 8 1
"6556" 6 1 0
"6557" 7 2 1
"6558" 46 18 6
"6559" 5 22 5
"6560" 4 4 0
"6561" 3 9 2
"6562" 2 2 2
"6563" 3 3 2
"6564" 6 3 2
"6565" 10 8 2
"6566" 34 20 2
"6567" 11 10 4
"6568" 5 9 5
"6569" 20 7 0
"6570" 73 13 10
"6571" 183 40 13
"6572" 87 26 11
"6573" 2 2 2
"6574" 106 34 8
"6575" 61 33 7
"6576" 103 25 11
"6577" 47 14 4
"6578" 22 4 3
"6579" 17 4 3
"6580" 14 9 7
"6581" 51 18 9
"6582" 0 5 2
"6583" 1 8 0
"6584" 15 5 1
"6585" 53 11 1
"6586" 12 3 1
"6587" 144 31 21
"6588" 11 1 1
"6589" 9 10 5
"6590" 2 9 4
"6591" 9 10 7
"6592" 84 16 15
"6593" 35 8 2
"6594" 43 8 10
"6595" 50 13 19
"6596" 69 25 9
"6597" 31 3 3
"6598" 114 33 12
"6599" 6 5 1
"6600" 73 17 16
"6601" 7 9 1
"6602" 52 14 3
"6603" 4 3 1
"6604" 16 7 0
"6605" 82 16 5
"6606" 54 9 1
"6607" 14 2 1
"6608" 18 10 1
"6609" 18 4 2
"6610" 244 47 3
"6611" 29 4 0
"6612" 3 3 0
"6613" 51 10 3
"6614" 61 24 7
"6615" 153 49 9
"6616" 87 30 16
"6617" 74 8 13
"6618" 9 2 0
"6619" 40 17 2
"6620" 48 24 3
"6621" 16 3 1
"6622" 9 3 1
"6623" 110 12 10
"6624" 15 5 1
"6625" 69 18 6
"6626" 49 15 3
"6627" 54 13 5
"6628" 124 20 6
"6629" 7 3 0
"6630" 2 1 0
"6631" 4 2 0
"6632" 4 17 1
"6633" 11 6 2
"6634" 3 17 0
"6635" 65 15 7
"6636" 71 15 10
"6637" 7 4 1
"6638" 7 2 2
"6639" 185 52 6
"6640" 5 7 1
"6641" 80 16 12
"6642" 144 42 19
"6643" 114 22 16
"6644" 184 22 28
"6645" 7 4 2
"6646" 40 16 2
"6647" 82 29 2
"6648" 36 9 3
"6649" 19 10 0
"6650" 45 20 3
"6651" 0 5 0
"6652" 65 18 0
"6653" 60 17 5
"6654" 83 14 6
"6655" 0 0 0
"6656" 1 0 0
"6657" 1 3 0
"6658" 7 13 1
"6659" 113 54 15
"6660" 9 2 0
"6661" 28 6 2
"6662" 1 5 0
"6663" 1 5 0
"6664" 0 2 0
"6665" 3 3 0
"6666" 1 2 7
"6667" 7 6 2
"6668" 3 5 0
"6669" 101 44 7
"6670" 114 47 11
"6671" 3 4 2
"6672" 35 31 11
"6673" 9 3 0
"6674" 6 2 0
"6675" 18 12 3
"6676" 158 63 13
"6677" 20 11 0
"6678" 33 12 0
"6679" 21 4 1
"6680" 33 16 1
"6681" 52 11 3
"6682" 33 7 3
"6683" 58 11 2
"6684" 0 4 2
"6685" 47 16 13
"6686" 93 10 16
"6687" 174 24 21
"6688" 122 28 19
"6689" 76 16 9
"6690" 103 16 18
"6691" 26 2 0
"6692" 40 3 2
"6693" 221 35 22
"6694" 6 4 1
"6695" 2 2 0
"6696" 65 15 9
"6697" 4 0 0
"6698" 8 13 2
"6699" 84 23 14
"6700" 38 7 9
"6701" 15 18 7
"6702" 3 6 2
"6703" 69 15 10
"6704" 66 17 9
"6705" 33 16 11
"6706" 98 30 6
"6707" 109 43 19
"6708" 2 17 1
"6709" 3 3 0
"6710" 9 2 4
"6711" 3 12 2
"6712" 3 6 3
"6713" 5 13 8
"6714" 23 9 2
"6715" 95 25 9
"6716" 42 10 9
"6717" 85 14 12
"6718" 104 33 13
"6719" 43 10 3
"6720" 132 27 17
"6721" 71 14 13
"6722" 23 10 1
"6723" 60 23 9
"6724" 58 12 6
"6725" 78 30 3
"6726" 16 3 8
"6727" 33 11 0
"6728" 63 35 49
"6729" 47 11 2
"6730" 56 14 2
"6731" 13 7 1
"6732" 14 6 7
"6733" 13 4 0
"6734" 117 20 13
"6735" 8 3 5
"6736" 48 16 8
"6737" 86 10 7
"6738" 17 4 6
"6739" 47 8 3
"6740" 141 36 5
"6741" 26 15 6
"6742" 31 7 3
"6743" 3 6 1
"6744" 9 3 1
"6745" 5 3 0
"6746" 221 48 31
"6747" 21 5 2
"6748" 19 8 5
"6749" 79 25 10
"6750" 56 11 7
"6751" 3 1 4
"6752" 23 4 3
"6753" 11 0 3
"6754" 91 9 25
"6755" 26 8 3
"6756" 2 1 0
"6757" 19 3 0
"6758" 6 3 0
"6759" 30 9 1
"6760" 30 1 3
"6761" 95 19 9
"6762" 32 9 3
"6763" 58 12 9
"6764" 8 5 2
"6765" 12 2 3
"6766" 7 1 0
"6767" 38 6 8
"6768" 36 12 3
"6769" 0 4 0
"6770" 7 8 0
"6771" 5 2 1
"6772" 16 4 0
"6773" 29 4 2
"6774" 71 18 16
"6775" 73 21 9
"6776" 76 13 4
"6777" 133 36 13
"6778" 146 44 27
"6779" 89 25 7
"6780" 74 25 8
"6781" 78 21 6
"6782" 9 19 15
"6783" 12 13 15
"6784" 18 32 27
"6785" 10 9 3
"6786" 7 4 4
"6787" 2 1 1
"6788" 121 22 6
"6789" 73 15 4
"6790" 70 16 3
"6791" 2 4 0
"6792" 90 30 13
"6793" 34 7 0
"6794" 162 68 16
"6795" 4 5 1
"6796" 64 13 34
"6797" 110 19 10
"6798" 12 8 1
"6799" 2 2 0
"6800" 4 0 0
"6801" 10 6 1
"6802" 9 5 1
"6803" 84 8 2
"6804" 104 18 12
"6805" 137 29 11
"6806" 158 34 13
"6807" 38 12 1
"6808" 16 7 2
"6809" 6 6 2
"6810" 101 34 13
"6811" 110 26 13
"6812" 4 6 1
"6813" 19 10 3
"6814" 4 1 1
"6815" 50 4 1
"6816" 5 15 1
"6817" 15 16 3
"6818" 7 3 1
"6819" 1 2 1
"6820" 19 10 6
"6821" 25 9 3
"6822" 27 5 2
"6823" 90 16 13
"6824" 9 2 0
"6825" 18 6 6
"6826" 167 36 20
"6827" 20 4 2
"6828" 36 3 1
"6829" 17 7 2
"6830" 78 23 6
"6831" 143 29 9
"6832" 28 9 1
"6833" 34 6 4
"6834" 35 13 3
"6835" 358 67 40
"6836" 126 16 5
"6837" 27 3 1
"6838" 99 19 14
"6839" 7 13 4
"6840" 1 10 1
"6841" 18 7 0
"6842" 6 7 1
"6843" 26 1 2
"6844" 40 3 1
"6845" 197 35 14
"6846" 151 22 15
"6847" 115 24 21
"6848" 78 16 6
"6849" 1 4 3
"6850" 136 24 7
"6851" 18 2 1
"6852" 71 37 10
"6853" 137 29 11
"6854" 149 30 12
"6855" 153 26 15
"6856" 61 11 3
"6857" 20 5 2
"6858" 68 17 4
"6859" 141 31 16
"6860" 175 38 12
"6861" 138 28 19
"6862" 222 23 6
"6863" 289 49 10
"6864" 177 45 10
"6865" 304 44 18
"6866" 140 27 11
"6867" 145 38 10
"6868" 26 5 5
"6869" 15 6 6
"6870" 67 7 6
"6871" 139 15 6
"6872" 10 2 0
"6873" 12 4 2
"6874" 35 11 10
"6875" 10 1 1
"6876" 78 19 7
"6877" 166 31 16
"6878" 78 10 7
"6879" 138 21 14
"6880" 83 13 4
"6881" 161 41 10
"6882" 12 0 1
"6883" 24 3 1
"6884" 265 53 37
"6885" 20 4 0
"6886" 59 15 20
"6887" 88 26 14
"6888" 37 12 5
"6889" 7 6 2
"6890" 149 33 22
"6891" 11 1 1
"6892" 62 24 8
"6893" 151 20 27
"6894" 11 7 1
"6895" 4 1 0
"6896" 17 4 3
"6897" 130 38 1
"6898" 17 6 1
"6899" 19 3 0
"6900" 15 1 1
"6901" 34 4 0
"6902" 175 28 7
"6903" 23 5 0
"6904" 17 0 2
"6905" 123 21 8
"6906" 7 3 1
"6907" 9 9 17
"6908" 23 4 2
"6909" 25 4 0
"6910" 20 2 0
"6911" 38 0 2
"6912" 33 12 3
"6913" 271 43 5
"6914" 108 13 2
"6915" 0 0 0
"6916" 11 4 0
"6917" 11 2 0
"6918" 28 6 9
"6919" 107 9 27
"6920" 32 9 1
"6921" 28 2 0
"6922" 21 1 0
"6923" 8 11 0
"6924" 93 32 28
"6925" 7 18 13
"6926" 3 5 6
"6927" 86 7 11
"6928" 15 10 11
"6929" 3 1 0
"6930" 75 13 16
"6931" 34 6 4
"6932" 78 23 16
"6933" 99 24 22
"6934" 4 1 1
"6935" 2 0 0
"6936" 3 4 1
"6937" 13 6 0
"6938" 5 2 3
"6939" 3 4 0
"6940" 15 2 1
"6941" 3 3 1
"6942" 9 4 0
"6943" 6 0 0
"6944" 5 2 1
"6945" 8 3 0
"6946" 19 0 1
"6947" 54 3 1
"6948" 93 10 3
"6949" 5 0 3
"6950" 7 0 0
"6951" 6 2 0
"6952" 1 11 1
"6953" 11 3 0
"6954" 2 1 0
"6955" 7 3 2
"6956" 16 9 4
"6957" 47 10 1
"6958" 50 15 1
"6959" 8 1 1
"6960" 20 1 0
"6961" 31 2 1
"6962" 69 7 3
"6963" 8 2 0
"6964" 59 11 0
"6965" 7 1 0
"6966" 1 1 0
"6967" 4 16 3
"6968" 7 0 0
"6969" 232 39 2
"6970" 4 1 0
"6971" 59 15 9
"6972" 136 30 16
"6973" 8 1 3
"6974" 30 6 6
"6975" 129 23 17
"6976" 158 23 15
"6977" 15 1 2
"6978" 10 1 1
"6979" 12 0 2
"6980" 105 8 10
"6981" 2 1 1
"6982" 120 17 8
"6983" 9 3 1
"6984" 12 3 0
"6985" 77 31 12
"6986" 47 15 4
"6987" 13 4 3
"6988" 81 10 18
"6989" 234 45 23
"6990" 13 0 0
"6991" 5 4 2
"6992" 2 9 0
"6993" 9 3 1
"6994" 78 14 9
"6995" 12 2 1
"6996" 15 2 2
"6997" 12 2 0
"6998" 39 8 2
"6999" 13 6 3
"7000" 38 10 8
"7001" 103 28 15
"7002" 320 60 41
"7003" 30 5 8
"7004" 91 18 9
"7005" 87 24 6
"7006" 83 17 5
"7007" 57 11 9
"7008" 44 11 8
"7009" 24 13 3
"7010" 6 0 0
"7011" 18 3 0
"7012" 99 13 12
"7013" 34 2 0
"7014" 15 2 0
"7015" 69 12 8
"7016" 29 4 1
"7017" 44 9 6
"7018" 19 9 2
"7019" 51 8 5
"7020" 16 3 1
"7021" 36 14 3
"7022" 1 12 3
"7023" 6 11 3
"7024" 46 22 5
"7025" 18 8 4
"7026" 6 6 2
"7027" 12 13 7
"7028" 95 29 11
"7029" 237 40 28
"7030" 128 27 12
"7031" 52 11 9
"7032" 180 33 5
"7033" 8 13 3
"7034" 5 8 0
"7035" 107 26 15
"7036" 157 22 13
"7037" 66 13 10
"7038" 229 22 6
"7039" 94 12 14
"7040" 6 12 6
"7041" 67 21 15
"7042" 11 2 0
"7043" 176 22 26
"7044" 3 2 0
"7045" 76 12 9
"7046" 16 30 18
"7047" 33 6 3
"7048" 176 33 10
"7049" 72 18 13
"7050" 11 0 0
"7051" 9 8 1
"7052" 1 2 0
"7053" 61 16 4
"7054" 22 14 3
"7055" 12 0 1
"7056" 4 2 2
"7057" 139 23 17
"7058" 25 11 0
"7059" 11 6 2
"7060" 22 6 0
"7061" 243 39 19
"7062" 6 19 0
"7063" 3 8 1
"7064" 10 15 0
"7065" 131 29 13
"7066" 21 8 0
"7067" 3 8 1
"7068" 8 0 1
"7069" 11 7 5
"7070" 60 35 8
"7071" 31 6 3
"7072" 145 26 14
"7073" 2 7 1
"7074" 6 23 3
"7075" 99 27 18
"7076" 21 3 0
"7077" 18 2 0
"7078" 151 35 21
"7079" 11 3 0
"7080" 17 0 0
"7081" 4 0 0
"7082" 40 9 2
"7083" 107 22 8
"7084" 31 17 4
"7085" 2 8 1
"7086" 158 36 21
"7087" 178 10 11
"7088" 11 1 1
"7089" 3 0 1
"7090" 9 4 0
"7091" 3 2 2
"7092" 14 6 2
"7093" 124 11 7
"7094" 74 25 6
"7095" 3 15 3
"7096" 83 16 6
"7097" 22 6 2
"7098" 87 19 9
"7099" 156 35 13
"7100" 131 38 12
"7101" 64 31 8
"7102" 30 5 6
"7103" 21 6 2
"7104" 97 19 13
"7105" 99 18 11
"7106" 25 5 0
"7107" 9 1 1
"7108" 98 19 13
"7109" 98 20 8
"7110" 10 5 1
"7111" 15 17 6
"7112" 13 6 0
"7113" 45 14 3
"7114" 106 34 12
"7115" 170 35 14
"7116" 80 31 6
"7117" 135 43 5
"7118" 74 23 7
"7119" 1 5 0
"7120" 35 7 9
"7121" 39 11 3
"7122" 51 9 8
"7123" 12 15 1
"7124" 80 18 5
"7125" 6 5 2
"7126" 94 30 7
"7127" 22 7 3
"7128" 15 12 9
"7129" 62 10 4
"7130" 12 3 1
"7131" 64 22 9
"7132" 17 3 1
"7133" 19 3 0
"7134" 439 85 33
"7135" 25 8 3
"7136" 12 1 1
"7137" 71 19 8
"7138" 20 1 0
"7139" 70 17 7
"7140" 26 9 2
"7141" 79 10 2
"7142" 50 12 6
"7143" 108 16 13
"7144" 6 6 0
"7145" 51 11 5
"7146" 89 20 7
"7147" 2 2 2
"7148" 2 1 1
"7149" 10 3 0
"7150" 46 25 7
"7151" 18 4 3
"7152" 32 3 1
"7153" 70 20 11
"7154" 23 3 0
"7155" 147 27 11
"7156" 18 3 0
"7157" 33 9 11
"7158" 5 5 5
"7159" 90 24 11
"7160" 98 25 12
"7161" 198 67 16
"7162" 15 6 2
"7163" 3 5 1
"7164" 31 15 3
"7165" 4 18 3
"7166" 81 14 6
"7167" 33 8 1
"7168" 139 27 11
"7169" 110 29 13
"7170" 47 12 1
"7171" 2 15 4
"7172" 31 0 0
"7173" 160 47 24
"7174" 13 3 5
"7175" 8 3 1
"7176" 8 29 2
"7177" 158 45 14
"7178" 116 33 11
"7179" 95 14 13
"7180" 63 17 9
"7181" 17 6 3
"7182" 22 5 0
"7183" 106 18 11
"7184" 10 5 2
"7185" 67 21 7
"7186" 106 23 10
"7187" 103 19 11
"7188" 76 16 8
"7189" 19 1 1
"7190" 83 10 2
"7191" 7 1 1
"7192" 0 2 0
"7193" 4 7 0
"7194" 18 6 0
"7195" 87 13 7
"7196" 70 14 5
"7197" 14 0 3
"7198" 3 2 0
"7199" 7 4 3
"7200" 5 18 2
"7201" 0 4 1
"7202" 8 3 2
"7203" 16 0 3
"7204" 108 11 8
"7205" 12 3 0
"7206" 11 3 3
"7207" 9 1 1
"7208" 23 3 6
"7209" 105 32 9
"7210" 140 27 11
"7211" 67 10 5
"7212" 16 5 5
"7213" 60 15 6
"7214" 97 18 4
"7215" 47 5 3
"7216" 28 7 0
"7217" 52 7 4
"7218" 22 1 0
"7219" 65 17 6
"7220" 27 4 3
"7221" 15 5 0
"7222" 85 26 12
"7223" 76 16 2
"7224" 6 7 1
"7225" 23 5 6
"7226" 51 6 12
"7227" 7 11 1
"7228" 6 6 8
"7229" 13 8 10
"7230" 7 3 2
"7231" 3 14 2
"7232" 230 25 11
"7233" 5 18 0
"7234" 2 2 1
