"KZ730-GA6909_0_0_mapq10_noDup.bed" "Lit_ESC_H3K4me3_0_0_mapq10_noDup.bed" "Lit_naive_H3K4me3_0_0_mapq10_noDup.bed"
"5647" 2447 7 18
"5648" 171 0 4
"5649" 459 3 5
"5650" 273 7 3
"5651" 2425 7 11
"5652" 78 1 2
"5653" 2509 4 15
"5654" 2573 79 106
"5655" 310 4 7
"5656" 177 6 12
"5657" 113 4 0
"5658" 136 4 6
"5659" 96 1 1
"5660" 234 4 6
"5661" 0 87 12
"5662" 0 41 11
"5663" 125 0 3
"5664" 281 2 1
"5665" 145 0 2
"5666" 604 6 7
"5667" 397 3 3
"5668" 425 1 6
"5669" 101 10 11
"5670" 182 2 1
"5671" 137 0 3
"5672" 110 3 6
"5673" 15 80 1
"5674" 1405 18 6
"5675" 83 1 0
"5676" 95 0 2
"5677" 308 1 1
"5678" 80 1 1
"5679" 73 1 3
"5680" 113 0 9
"5681" 69 1 1
"5682" 399 2 4
"5683" 134 1 0
"5684" 74 3 1
"5685" 20 56 40
"5686" 92 0 2
"5687" 58 0 2
"5688" 63 0 1
"5689" 335 2 2
"5690" 103 2 0
"5691" 142 0 1
"5692" 63 0 2
"5693" 925 107 57
"5694" 1642 168 93
"5695" 831 31 44
"5696" 97 1 2
"5697" 88 3 0
"5698" 1264 114 143
"5699" 101 1 0
"5700" 282 1 2
"5701" 159 0 2
"5702" 3593 143 250
"5703" 75 2 2
"5704" 375 0 6
"5705" 479 2 66
"5706" 521 22 41
"5707" 347 2 4
"5708" 737 30 34
"5709" 117 0 4
"5710" 27 48 57
"5711" 79 1 0
"5712" 74 2 1
"5713" 855 11 6
"5714" 503 3 13
"5715" 130 1 3
"5716" 59 0 2
"5717" 122 2 5
"5718" 286 13 79
"5719" 47 5 61
"5720" 3419 95 134
"5721" 70 0 1
"5722" 173 0 2
"5723" 85 1 0
"5724" 86 3 0
"5725" 76 1 3
"5726" 78 3 27
"5727" 828 78 104
"5728" 493 43 37
"5729" 99 1 100
"5730" 178 0 2
"5731" 30 181 8
"5732" 12 72 1
"5733" 89 6 0
"5734" 1873 204 159
"5735" 139 7 0
"5736" 1415 102 4
"5737" 1002 7 8
"5738" 228 0 1
"5739" 1118 50 77
"5740" 69 0 3
"5741" 124 3 1
"5742" 73 0 0
"5743" 78 2 1
"5744" 240 2 2
"5745" 9 12 0
"5746" 114 1 3
"5747" 13 16 1
"5748" 50 86 4
"5749" 51 0 2
"5750" 134 4 3
"5751" 869 65 41
"5752" 1066 53 213
"5753" 1080 103 137
"5754" 933 19 3
"5755" 72 3 2
"5756" 206 0 1
"5757" 49 1 1
"5758" 198 5 0
"5759" 73 0 0
"5760" 113 1 2
"5761" 1766 102 3
"5762" 84 3 5
"5763" 15 54 23
"5764" 293 1 7
"5765" 127 1 8
"5766" 5 1 22
"5767" 76 1 7
"5768" 55 1 5
"5769" 36 1 62
"5770" 1099 93 163
"5771" 254 28 82
"5772" 98 5 3
"5773" 1346 182 208
"5774" 58 0 0
"5775" 1301 189 18
"5776" 6 62 9
"5777" 28 59 88
"5778" 106 3 0
"5779" 63 0 1
"5780" 1387 98 133
"5781" 183 4 1
"5782" 114 0 0
"5783" 293 4 8
"5784" 144 4 4
"5785" 104 2 3
"5786" 16 1 60
"5787" 504 4 50
"5788" 141 1 1
"5789" 3521 4 638
"5790" 88 0 7
"5791" 76 1 2
"5792" 66 0 3
"5793" 148 1 3
"5794" 187 2 1
"5795" 247 2 2
"5796" 210 1 2
"5797" 161 2 2
"5798" 225 7 2
"5799" 65 2 1
"5800" 109 0 1
"5801" 273 5 1
"5802" 88 10 3
"5803" 101 2 2
"5804" 127 1 2
"5805" 109 2 4
"5806" 44 1 32
"5807" 88 0 2
"5808" 5 0 39
"5809" 1168 120 118
"5810" 1108 88 94
"5811" 1473 72 107
"5812" 156 0 1
"5813" 132 2 4
"5814" 477 38 90
"5815" 73 0 1
"5816" 151 3 5
"5817" 171 1 3
"5818" 96 2 0
"5819" 159 1 1
"5820" 25 88 3
"5821" 82 0 1
"5822" 67 1 1
"5823" 262 0 5
"5824" 65 0 3
"5825" 107 1 4
"5826" 73 0 1
"5827" 159 3 4
"5828" 24 73 8
"5829" 82 3 2
"5830" 2283 164 37
"5831" 91 0 4
"5832" 100 0 0
"5833" 97 0 1
"5834" 79 1 0
"5835" 274 1 1
"5836" 152 2 2
"5837" 151 1 1
"5838" 268 2 5
"5839" 115 1 2
"5840" 259 1 8
"5841" 229 6 3
"5842" 125 1 4
"5843" 74 1 1
"5844" 136 2 4
"5845" 249 5 8
"5846" 193 3 5
"5847" 1939 182 98
"5848" 102 1 3
"5849" 18 1 51
"5850" 86 2 5
"5851" 1639 128 119
"5852" 123 1 1
"5853" 106 5 1
"5854" 138 0 1
"5855" 492 60 111
"5856" 577 62 51
"5857" 166 2 9
"5858" 76 0 2
"5859" 65 0 3
"5860" 107 2 6
"5861" 173 3 11
"5862" 135 0 9
"5863" 210 7 10
"5864" 18 2 62
"5865" 330 2 13
"5866" 1030 51 60
"5867" 218 13 3
"5868" 6 20 2
"5869" 357 12 6
"5870" 2126 184 80
"5871" 1141 89 95
"5872" 1893 164 197
"5873" 1295 67 48
"5874" 826 38 104
"5875" 995 80 72
"5876" 790 42 3
"5877" 437 8 3
"5878" 215 4 6
"5879" 130 3 2
"5880" 77 1 5
"5881" 125 2 2
"5882" 152 3 3
"5883" 111 1 0
"5884" 58 0 0
"5885" 85 0 0
"5886" 90 0 6
"5887" 100 0 6
"5888" 1562 117 86
"5889" 874 85 116
"5890" 652 76 70
"5891" 852 58 87
"5892" 110 0 4
"5893" 6 36 0
"5894" 876 22 105
"5895" 726 41 75
"5896" 4 27 5
"5897" 112 1 1
"5898" 6 69 0
"5899" 1002 55 72
"5900" 109 1 11
"5901" 668 32 118
"5902" 173 1 5
"5903" 185 0 1
"5904" 190 7 8
"5905" 13 45 21
"5906" 1580 130 135
"5907" 1568 192 150
"5908" 1378 102 127
"5909" 1364 79 13
"5910" 2608 202 295
"5911" 955 105 90
"5912" 3 27 4
"5913" 116 3 1
"5914" 67 1 1
"5915" 1397 113 177
"5916" 1092 22 170
"5917" 86 2 4
"5918" 184 0 9
"5919" 1039 69 210
"5920" 171 0 3
"5921" 95 0 2
"5922" 102 1 2
"5923" 992 71 67
"5924" 549 35 2
"5925" 131 3 0
"5926" 1610 93 106
"5927" 57 1 3
"5928" 105 0 1
"5929" 5328 124 241
"5930" 1305 125 80
"5931" 21 50 2
"5932" 50 1 2
"5933" 55 0 0
"5934" 104 0 1
"5935" 103 6 3
"5936" 144 3 4
"5937" 86 2 1
"5938" 172 1 3
"5939" 131 3 2
"5940" 8 29 0
"5941" 13 41 51
"5942" 171 2 5
"5943" 996 56 89
"5944" 182 0 10
"5945" 648 47 1
"5946" 72 1 2
"5947" 99 0 1
"5948" 107 3 3
"5949" 663 49 60
"5950" 7 20 2
"5951" 188 2 11
"5952" 1350 107 90
"5953" 1102 70 87
"5954" 4 7 48
"5955" 108 1 10
"5956" 74 0 2
"5957" 99 1 3
"5958" 165 2 8
"5959" 154 2 14
"5960" 1005 78 74
"5961" 951 78 62
"5962" 877 66 87
"5963" 917 41 75
"5964" 143 5 7
"5965" 97 26 3
"5966" 80 0 3
"5967" 170 28 31
"5968" 121 3 3
"5969" 137 2 7
"5970" 339 32 203
"5971" 907 32 90
"5972" 2786 240 147
"5973" 794 87 59
"5974" 834 29 38
"5975" 1165 103 84
"5976" 117 2 4
"5977" 1653 60 129
"5978" 118 0 1
"5979" 1255 93 35
"5980" 148 3 1
"5981" 964 47 111
"5982" 2563 213 304
"5983" 379 71 131
"5984" 1258 180 136
"5985" 93 2 14
"5986" 1659 101 184
"5987" 155 2 1
"5988" 1673 147 111
"5989" 874 53 104
"5990" 1209 51 66
"5991" 82 0 2
"5992" 168 1 1
"5993" 977 104 143
"5994" 96 45 51
"5995" 21 23 39
"5996" 17 100 17
"5997" 85 2 3
"5998" 146 2 2
"5999" 1411 106 73
"6000" 772 110 97
"6001" 18 23 3
"6002" 606 109 205
"6003" 835 33 23
"6004" 1280 88 93
"6005" 1296 320 141
"6006" 831 119 15
"6007" 462 6 47
"6008" 271 1 13
"6009" 165 0 4
"6010" 83 0 3
"6011" 155 1 5
"6012" 896 18 25
"6013" 678 116 40
"6014" 127 2 2
"6015" 183 1 4
"6016" 79 1 9
"6017" 121 1 2
"6018" 84 0 0
"6019" 14 22 1
"6020" 4 17 8
"6021" 10 33 3
"6022" 1017 63 31
"6023" 802 64 96
"6024" 88 1 3
"6025" 158 4 5
"6026" 1207 123 40
"6027" 1877 166 57
"6028" 542 40 94
"6029" 1994 88 182
"6030" 3 15 1
"6031" 9 22 3
"6032" 182 5 6
"6033" 1038 70 67
"6034" 62 0 5
"6035" 1223 94 137
"6036" 7 9 24
"6037" 454 128 8
"6038" 295 1 5
"6039" 327 35 43
"6040" 1152 118 105
"6041" 1312 34 79
"6042" 742 146 53
"6043" 91 1 11
"6044" 132 4 7
"6045" 102 15 6
"6046" 117 7 7
"6047" 99 3 4
"6048" 981 91 98
"6049" 7 18 0
"6050" 108 2 0
"6051" 99 0 1
"6052" 100 3 0
"6053" 19 24 2
"6054" 1944 286 159
"6055" 93 2 4
"6056" 68 0 0
"6057" 965 63 165
"6058" 76 2 4
"6059" 517 29 42
"6060" 1967 170 86
"6061" 1917 222 151
"6062" 511 101 66
"6063" 13 2 37
"6064" 112 1 4
"6065" 93 2 3
"6066" 12 15 14
"6067" 86 0 6
"6068" 225 115 100
"6069" 98 1 1
"6070" 96 7 9
"6071" 104 2 4
"6072" 9 22 4
"6073" 182 0 3
"6074" 1463 150 68
"6075" 90 1 3
"6076" 150 1 5
"6077" 277 38 43
"6078" 149 6 2
"6079" 689 19 88
"6080" 75 3 3
"6081" 125 3 6
"6082" 116 5 4
"6083" 95 1 1
"6084" 337 1 2
"6085" 7 16 1
"6086" 20 21 3
"6087" 24 71 8
"6088" 492 3 3
"6089" 103 0 8
"6090" 1067 75 35
"6091" 702 1 6
"6092" 2230 123 104
"6093" 180 2 14
"6094" 96 2 10
"6095" 120 7 4
"6096" 94 2 6
"6097" 22 24 38
"6098" 140 3 4
"6099" 129 10 5
"6100" 9 0 22
"6101" 190 2 1
"6102" 12 7 37
"6103" 5 28 2
"6104" 251 15 45
"6105" 955 100 86
"6106" 158 2 11
"6107" 140 3 4
"6108" 7 37 9
"6109" 108 1 3
"6110" 81 0 0
"6111" 563 1 3
"6112" 949 52 148
"6113" 849 55 73
"6114" 52 4 121
"6115" 939 63 121
"6116" 57 1 1
"6117" 128 4 12
"6118" 96 4 5
"6119" 1005 64 158
"6120" 1526 183 104
"6121" 24 5 24
"6122" 91 0 1
"6123" 79 2 2
"6124" 699 37 74
"6125" 1558 130 255
"6126" 91 1 10
"6127" 103 2 109
"6128" 625 9 49
"6129" 12 1 25
"6130" 43 112 26
"6131" 951 65 90
"6132" 144 2 5
"6133" 151 1 10
"6134" 10 25 3
"6135" 759 83 75
"6136" 184 8 5
"6137" 3 11 1
"6138" 209 1 11
"6139" 796 55 42
"6140" 11 56 41
"6141" 1690 81 39
"6142" 122 1 1
"6143" 37 7 66
"6144" 973 13 259
"6145" 1560 207 41
"6146" 17 83 6
"6147" 845 70 115
"6148" 1442 117 75
"6149" 155 4 4
"6150" 102 4 3
"6151" 906 76 32
"6152" 1672 155 86
"6153" 163 1 1
"6154" 139 0 13
"6155" 242 5 10
"6156" 92 4 3
"6157" 110 2 2
"6158" 87 2 7
"6159" 76 2 2
"6160" 88 2 1
"6161" 183 11 6
"6162" 115 4 2
"6163" 75 94 9
"6164" 93 0 5
"6165" 1597 73 117
"6166" 2351 66 85
"6167" 215 17 20
"6168" 828 67 72
"6169" 690 18 37
"6170" 760 99 195
"6171" 1067 192 100
"6172" 1629 248 69
"6173" 23 91 13
"6174" 98 1 0
"6175" 97 0 2
"6176" 103 1 1
"6177" 8 19 1
"6178" 1234 183 101
"6179" 527 4 4
"6180" 2 25 1
"6181" 69 1 2
"6182" 99 3 3
"6183" 134 1 9
"6184" 86 4 3
"6185" 173 1 8
"6186" 1103 82 109
"6187" 1111 122 94
"6188" 829 81 96
"6189" 87 5 9
"6190" 1477 60 184
"6191" 159 6 5
"6192" 126 2 6
"6193" 59 1 0
"6194" 85 1 6
"6195" 92 3 10
"6196" 133 4 9
"6197" 24 96 4
"6198" 87 7 2
"6199" 27 24 0
"6200" 81 1 4
"6201" 98 3 4
"6202" 70 0 4
"6203" 267 4 5
"6204" 129 5 2
"6205" 98 4 4
"6206" 80 0 1
"6207" 110 2 3
"6208" 166 3 6
"6209" 849 72 76
"6210" 606 34 40
"6211" 562 51 44
"6212" 1274 92 72
"6213" 474 2 18
"6214" 87 1 8
"6215" 1354 95 38
"6216" 4 34 14
"6217" 1600 129 168
"6218" 4 0 19
"6219" 252 2 7
"6220" 3815 238 199
"6221" 7 15 2
"6222" 239 13 15
"6223" 786 118 54
"6224" 1428 103 144
"6225" 806 107 56
"6226" 663 91 8
"6227" 84 4 3
"6228" 827 50 25
"6229" 238 1 2
"6230" 785 27 33
"6231" 87 0 2
"6232" 102 3 5
"6233" 310 4 14
"6234" 1190 122 103
"6235" 11 21 1
"6236" 1604 124 167
"6237" 735 110 44
"6238" 15 0 21
"6239" 2226 288 282
"6240" 669 79 69
"6241" 622 49 65
"6242" 499 44 33
"6243" 35 109 18
"6244" 18 20 1
"6245" 126 1 3
"6246" 10 35 7
"6247" 754 108 85
"6248" 139 3 3
"6249" 123 16 4
"6250" 42 19 2
"6251" 839 72 2
"6252" 358 4 3
"6253" 95 1 1
"6254" 76 2 2
"6255" 74 0 2
"6256" 64 0 0
"6257" 3 22 1
"6258" 83 2 3
"6259" 559 34 21
"6260" 7 0 17
"6261" 145 2 38
"6262" 259 6 6
"6263" 308 7 6
"6264" 69 0 1
"6265" 73 0 2
"6266" 5 17 40
"6267" 99 1 4
"6268" 95 0 5
"6269" 529 1 57
"6270" 2484 87 154
"6271" 1357 109 63
"6272" 667 33 31
"6273" 73 1 3
"6274" 339 48 54
"6275" 4 22 7
"6276" 134 7 6
"6277" 1395 97 27
"6278" 404 4 10
"6279" 1109 99 86
"6280" 98 3 3
"6281" 613 6 30
"6282" 24 28 12
"6283" 136 6 10
"6284" 1931 112 115
"6285" 306 2 5
"6286" 114 2 7
"6287" 131 3 3
"6288" 8 22 4
"6289" 1872 237 148
"6290" 17 40 7
"6291" 21 37 9
"6292" 23 33 3
"6293" 15 63 7
"6294" 541 89 9
"6295" 671 13 12
"6296" 286 13 6
"6297" 1679 190 151
"6298" 973 155 80
"6299" 130 3 10
"6300" 2 22 1
"6301" 104 1 4
"6302" 139 0 8
"6303" 895 91 62
"6304" 13 31 35
"6305" 151 2 6
"6306" 798 144 24
"6307" 1056 104 70
"6308" 355 60 94
"6309" 50 2 441
"6310" 3 0 24
"6311" 2 6 62
"6312" 1330 139 167
"6313" 701 73 98
"6314" 412 8 79
"6315" 973 69 81
"6316" 1352 164 95
"6317" 755 41 36
"6318" 1956 208 176
"6319" 10 1 21
"6320" 186 1 24
"6321" 508 19 14
"6322" 54 14 233
"6323" 2004 149 213
"6324" 4 5 21
"6325" 92 0 39
"6326" 39 3 1
"6327" 201 3 8
"6328" 52 9 33
"6329" 18 56 12
"6330" 74 0 4
"6331" 150 1 1
"6332" 8 1 16
"6333" 1139 11 9
"6334" 1346 67 175
"6335" 97 3 8
"6336" 168 25 1
"6337" 883 22 15
"6338" 69 2 3
"6339" 10 25 0
"6340" 25 129 43
"6341" 1245 159 142
"6342" 610 103 3
"6343" 35 29 24
"6344" 236 19 4
"6345" 1583 233 123
"6346" 12 29 42
"6347" 73 4 4
"6348" 119 3 5
"6349" 117 3 11
"6350" 121 26 651
"6351" 42 4 27
"6352" 63 0 2
"6353" 131 1 2
"6354" 70 2 0
"6355" 201 0 2
"6356" 94 1 0
"6357" 273 0 2
"6358" 115 42 23
"6359" 413 75 67
"6360" 914 177 89
"6361" 20 60 1
"6362" 268 71 56
"6363" 3 85 81
"6364" 106 0 2
"6365" 1 1 21
"6366" 3 15 0
"6367" 842 187 45
"6368" 686 97 100
"6369" 109 5 31
"6370" 759 116 148
"6371" 92 16 22
"6372" 654 186 228
"6373" 524 73 75
"6374" 462 104 52
"6375" 790 212 109
"6376" 368 2 7
"6377" 593 77 129
"6378" 95 2 4
"6379" 714 105 160
"6380" 1027 225 52
"6381" 487 18 43
"6382" 1304 280 225
"6383" 630 117 78
"6384" 250 18 52
"6385" 11 30 7
"6386" 5 6 42
"6387" 59 8 42
"6388" 430 132 69
"6389" 9 5 21
"6390" 2 0 21
"6391" 606 112 91
"6392" 834 102 174
"6393" 696 94 62
"6394" 304 5 44
"6395" 919 179 61
"6396" 391 163 9
"6397" 2 10 0
"6398" 31 15 3
"6399" 1 3 18
"6400" 24 7 27
"6401" 15 9 29
"6402" 67 8 42
"6403" 8 18 3
"6404" 342 4 6
"6405" 143 7 2
"6406" 1008 118 346
"6407" 5 2 41
"6408" 373 38 21
"6409" 565 59 25
"6410" 11 5 45
"6411" 698 103 140
"6412" 442 52 52
"6413" 207 56 9
"6414" 1052 68 111
"6415" 91 0 8
"6416" 592 33 14
"6417" 218 70 17
"6418" 3 96 7
"6419" 437 148 82
"6420" 440 136 96
"6421" 530 157 97
"6422" 97 45 13
"6423" 0 14 4
"6424" 9 1 31
"6425" 605 72 280
"6426" 5 7 40
"6427" 236 4 3
"6428" 778 166 146
"6429" 14 4 48
"6430" 1687 331 254
"6431" 541 111 68
"6432" 33 4 122
"6433" 30 88 79
"6434" 10 26 1
"6435" 15 42 60
"6436" 79 0 5
"6437" 2 35 3
"6438" 419 111 53
"6439" 434 54 108
"6440" 18 88 5
"6441" 5 12 26
"6442" 15 17 42
"6443" 164 7 577
"6444" 292 38 37
"6445" 5 6 25
"6446" 560 76 166
"6447" 521 94 56
"6448" 97 11 4
"6449" 443 102 68
"6450" 920 234 104
"6451" 257 29 31
"6452" 405 8 32
"6453" 606 91 47
"6454" 153 0 4
"6455" 5 2 21
"6456" 9 4 105
"6457" 76 3 4
"6458" 240 49 12
"6459" 770 115 96
"6460" 472 32 14
"6461" 200 0 3
"6462" 123 94 48
"6463" 94 3 15
"6464" 0 0 28
"6465" 0 1 89
"6466" 704 110 144
"6467" 12 0 25
"6468" 830 152 111
"6469" 64 6 7
"6470" 128 0 3
"6471" 636 70 87
"6472" 1285 285 366
"6473" 493 86 61
"6474" 68 40 178
"6475" 10 14 0
"6476" 2 1 20
"6477" 1159 183 84
"6478" 5 1 33
"6479" 847 203 113
"6480" 62 0 2
"6481" 1 0 16
"6482" 2 19 5
"6483" 499 51 54
"6484" 64 4 8
"6485" 19 54 129
"6486" 96 5 4
"6487" 37 0 18
"6488" 12 21 18
"6489" 10 15 2
"6490" 80 2 0
"6491" 100 1 1
"6492" 11 18 9
"6493" 193 15 8
"6494" 995 222 113
"6495" 789 87 211
"6496" 70 5 26
"6497" 49 1 69
"6498" 611 45 77
"6499" 447 44 113
"6500" 819 79 139
"6501" 520 79 112
"6502" 567 129 88
"6503" 669 103 48
"6504" 7 0 25
"6505" 779 264 138
"6506" 68 1 0
"6507" 9 8 42
"6508" 215 3 7
"6509" 301 8 11
"6510" 170 2 7
"6511" 1521 31 177
"6512" 674 84 116
"6513" 14 15 48
"6514" 196 6 7
"6515" 407 34 38
"6516" 231 59 16
"6517" 850 33 128
"6518" 937 161 111
"6519" 3 18 2
"6520" 71 0 6
"6521" 449 41 33
"6522" 705 124 20
"6523" 576 97 61
"6524" 226 4 4
"6525" 794 120 25
"6526" 374 75 73
"6527" 11 54 2
"6528" 96 2 2
"6529" 660 101 76
"6530" 93 2 15
"6531" 709 104 201
"6532" 77 2 2
"6533" 930 113 22
"6534" 96 1 0
"6535" 240 9 2
"6536" 75 2 0
"6537" 678 246 263
"6538" 185 14 8
"6539" 150 14 6
"6540" 4 21 5
"6541" 2 35 6
"6542" 35 0 0
"6543" 767 41 140
"6544" 5 2 29
"6545" 102 2 3
"6546" 593 77 90
"6547" 932 175 176
"6548" 5 2 30
"6549" 3 42 39
"6550" 2 28 37
"6551" 423 115 67
"6552" 351 82 24
"6553" 1 0 19
"6554" 512 7 5
"6555" 5 17 1
"6556" 43 1 0
"6557" 92 0 1
"6558" 441 93 104
"6559" 24 279 21
"6560" 3 30 0
"6561" 18 101 2
"6562" 6 10 0
"6563" 117 0 1
"6564" 112 1 3
"6565" 126 4 5
"6566" 408 93 32
"6567" 138 1 26
"6568" 15 50 119
"6569" 290 29 3
"6570" 624 78 95
"6571" 1230 149 197
"6572" 775 121 77
"6573" 0 6 32
"6574" 774 178 186
"6575" 762 113 136
"6576" 823 73 102
"6577" 221 7 12
"6578" 144 8 11
"6579" 107 6 4
"6580" 7 34 57
"6581" 384 75 93
"6582" 4 22 0
"6583" 1 48 4
"6584" 68 0 1
"6585" 443 37 4
"6586" 63 0 0
"6587" 1005 326 94
"6588" 105 1 5
"6589" 26 52 42
"6590" 7 8 35
"6591" 31 0 41
"6592" 450 105 77
"6593" 350 69 44
"6594" 447 74 58
"6595" 469 99 73
"6596" 673 122 54
"6597" 173 0 13
"6598" 835 162 89
"6599" 4 18 1
"6600" 409 22 140
"6601" 3 19 15
"6602" 431 3 5
"6603" 3 16 0
"6604" 92 1 1
"6605" 468 13 28
"6606" 405 15 8
"6607" 4 17 2
"6608" 112 13 2
"6609" 3 16 3
"6610" 1449 181 12
"6611" 72 3 1
"6612" 1 18 0
"6613" 371 14 26
"6614" 495 88 39
"6615" 1231 161 107
"6616" 948 145 136
"6617" 323 20 80
"6618" 57 0 0
"6619" 148 9 4
"6620" 525 89 8
"6621" 71 2 0
"6622" 3 29 7
"6623" 758 69 43
"6624" 57 1 3
"6625" 678 115 42
"6626" 378 87 55
"6627" 428 60 56
"6628" 573 97 74
"6629" 62 1 1
"6630" 136 0 1
"6631" 56 1 14
"6632" 10 109 1
"6633" 99 9 2
"6634" 11 136 3
"6635" 634 85 58
"6636" 404 50 121
"6637" 0 2 17
"6638" 92 2 8
"6639" 1011 91 5
"6640" 9 40 1
"6641" 476 44 96
"6642" 860 43 69
"6643" 625 100 101
"6644" 899 52 148
"6645" 70 2 10
"6646" 145 22 4
"6647" 446 55 9
"6648" 120 7 3
"6649" 118 7 1
"6650" 300 11 5
"6651" 1 19 6
"6652" 100 5 2
"6653" 232 14 8
"6654" 383 21 20
"6655" 5 13 0
"6656" 1 6 0
"6657" 4 16 1
"6658" 36 36 0
"6659" 186 28 18
"6660" 95 4 1
"6661" 192 13 5
"6662" 4 37 1
"6663" 21 18 0
"6664" 1 23 0
"6665" 17 14 0
"6666" 0 8 28
"6667" 56 1 3
"6668" 2 18 3
"6669" 185 8 9
"6670" 145 15 7
"6671" 10 32 3
"6672" 86 5 10
"6673" 23 28 0
"6674" 34 38 4
"6675" 92 34 3
"6676" 398 24 15
"6677" 111 6 4
"6678" 80 8 3
"6679" 110 7 9
"6680" 276 31 4
"6681" 126 7 2
"6682" 191 4 8
"6683" 103 6 5
"6684" 2 22 2
"6685" 281 64 49
"6686" 669 76 115
"6687" 992 109 179
"6688" 597 73 84
"6689" 464 43 39
"6690" 620 103 43
"6691" 103 10 3
"6692" 150 3 5
"6693" 1422 145 122
"6694" 4 0 17
"6695" 3 14 1
"6696" 483 167 29
"6697" 6 4 21
"6698" 4 50 1
"6699" 694 92 149
"6700" 347 63 35
"6701" 19 63 20
"6702" 2 27 0
"6703" 425 93 62
"6704" 542 88 61
"6705" 371 60 87
"6706" 664 197 69
"6707" 738 228 130
"6708" 15 51 4
"6709" 52 0 0
"6710" 27 14 1
"6711" 20 86 2
"6712" 12 16 0
"6713" 18 34 34
"6714" 165 0 6
"6715" 834 122 69
"6716" 349 25 62
"6717" 507 55 48
"6718" 921 134 193
"6719" 227 5 11
"6720" 1048 103 133
"6721" 890 123 80
"6722" 190 8 24
"6723" 692 110 100
"6724" 419 74 10
"6725" 799 146 17
"6726" 7 3 36
"6727" 210 21 5
"6728" 155 28 756
"6729" 510 102 55
"6730" 614 87 51
"6731" 140 1 8
"6732" 6 4 150
"6733" 82 2 4
"6734" 859 75 138
"6735" 74 3 1
"6736" 926 8 12
"6737" 645 69 91
"6738" 139 0 5
"6739" 610 7 60
"6740" 1005 120 17
"6741" 224 40 47
"6742" 238 1 4
"6743" 2 22 2
"6744" 6 14 2
"6745" 68 1 1
"6746" 1404 320 362
"6747" 132 3 11
"6748" 72 4 7
"6749" 1186 137 95
"6750" 428 25 48
"6751" 6 1 28
"6752" 130 2 16
"6753" 11 0 22
"6754" 883 78 337
"6755" 149 5 32
"6756" 57 0 3
"6757" 102 0 4
"6758" 67 0 0
"6759" 122 3 6
"6760" 236 1 7
"6761" 1425 66 35
"6762" 315 116 43
"6763" 618 88 103
"6764" 3 1 38
"6765" 132 5 17
"6766" 57 0 2
"6767" 369 31 45
"6768" 548 88 76
"6769" 6 89 7
"6770" 7 29 1
"6771" 66 0 5
"6772" 111 2 3
"6773" 260 2 1
"6774" 663 119 87
"6775" 567 205 50
"6776" 585 87 101
"6777" 1075 237 97
"6778" 1294 183 130
"6779" 508 79 75
"6780" 612 173 55
"6781" 610 111 15
"6782" 4 9 152
"6783" 7 2 64
"6784" 23 15 326
"6785" 11 55 16
"6786" 174 15 13
"6787" 5 51 2
"6788" 705 78 65
"6789" 512 10 14
"6790" 510 35 2
"6791" 1 3 16
"6792" 713 105 92
"6793" 141 3 6
"6794" 978 271 88
"6795" 13 29 3
"6796" 255 7 380
"6797" 604 67 89
"6798" 87 1 3
"6799" 2 19 0
"6800" 5 17 2
"6801" 33 52 1
"6802" 64 1 1
"6803" 603 1 3
"6804" 666 134 92
"6805" 890 119 153
"6806" 930 205 78
"6807" 238 14 6
"6808" 98 8 5
"6809" 10 16 1
"6810" 381 37 92
"6811" 781 117 197
"6812" 21 22 1
"6813" 150 2 3
"6814" 2 42 0
"6815" 242 2 2
"6816" 9 60 5
"6817" 21 75 5
"6818" 13 28 12
"6819" 6 15 14
"6820" 36 33 54
"6821" 147 25 30
"6822" 173 1 8
"6823" 548 7 171
"6824" 122 1 1
"6825" 144 7 7
"6826" 817 141 160
"6827" 146 3 2
"6828" 130 2 6
"6829" 126 2 3
"6830" 568 74 59
"6831" 1011 163 91
"6832" 71 1 5
"6833" 177 4 3
"6834" 188 5 8
"6835" 2023 129 554
"6836" 510 18 8
"6837" 74 0 3
"6838" 620 78 101
"6839" 18 6 30
"6840" 10 62 51
"6841" 248 7 15
"6842" 10 3 48
"6843" 174 10 5
"6844" 63 3 6
"6845" 1355 215 107
"6846" 931 99 97
"6847" 829 124 113
"6848" 891 192 152
"6849" 0 22 33
"6850" 888 103 133
"6851" 80 0 1
"6852" 219 104 63
"6853" 1074 179 304
"6854" 896 67 90
"6855" 1016 125 123
"6856" 398 20 13
"6857" 1 2 26
"6858" 455 18 25
"6859" 627 118 85
"6860" 990 213 162
"6861" 618 113 201
"6862" 1150 14 59
"6863" 1244 105 90
"6864" 1040 103 143
"6865" 1590 190 184
"6866" 1000 216 121
"6867" 1183 198 184
"6868" 48 4 58
"6869" 1 1 25
"6870" 19 2 151
"6871" 685 44 31
"6872" 42 30 1
"6873" 188 4 11
"6874" 52 21 38
"6875" 97 0 2
"6876" 606 101 65
"6877" 830 132 47
"6878" 318 2 51
"6879" 576 13 128
"6880" 507 12 8
"6881" 1108 218 118
"6882" 155 0 2
"6883" 318 3 7
"6884" 2195 141 142
"6885" 134 2 4
"6886" 664 73 54
"6887" 866 94 174
"6888" 594 91 27
"6889" 4 1 20
"6890" 1383 142 159
"6891" 126 15 6
"6892" 746 43 66
"6893" 1404 118 156
"6894" 115 12 9
"6895" 60 1 1
"6896" 69 0 2
