"KZ730-GA6909_0_0_mapq10_noDup.bed" "Lit_ESC_H3K4me3_0_0_mapq10_noDup.bed" "Lit_naive_H3K4me3_0_0_mapq10_noDup.bed"
"309" 14 0 37
"310" 653 89 96
"311" 1567 280 127
"312" 737 129 152
"313" 68 2 5
"314" 5 0 22
"315" 1 0 18
"316" 896 3 11
"317" 845 88 146
"318" 3 18 16
"319" 8 19 50
"320" 50 0 1
"321" 335 1 3
"322" 65 2 1
"323" 173 2 3
"324" 1643 115 15
"325" 51 2 2
"326" 497 70 55
"327" 960 169 116
"328" 84 1 0
"329" 4 49 5
"330" 111 3 2
"331" 391 44 40
"332" 61 2 2
"333" 532 125 74
"334" 484 9 8
"335" 273 4 3
"336" 111 3 6
"337" 112 2 2
"338" 52 0 0
"339" 1137 204 133
"340" 932 189 250
"341" 855 122 108
"342" 793 144 97
"343" 833 132 103
"344" 446 7 127
"345" 69 0 1
"346" 1360 33 410
"347" 37 5 33
"348" 563 13 168
"349" 18 3 203
"350" 71 0 7
"351" 974 108 173
"352" 424 40 35
"353" 665 85 142
"354" 111 3 3
"355" 211 2 1
"356" 123 4 1
"357" 1831 224 71
"358" 106 0 5
"359" 44 0 22
"360" 1003 190 158
"361" 1015 220 151
"362" 1571 123 91
"363" 842 168 112
"364" 3 48 31
"365" 972 152 151
"366" 64 2 3
"367" 720 79 108
"368" 659 41 100
"369" 719 104 34
"370" 956 148 65
"371" 54 4 444
"372" 3 1 23
"373" 48 0 46
"374" 22 0 45
"375" 98 1 13
"376" 23 2 151
"377" 2 13 1
"378" 71 0 1
"379" 59 1 0
"380" 128 1 3
"381" 2267 51 8
"382" 84 3 0
"383" 1027 92 97
"384" 1144 237 202
"385" 18 46 4
"386" 10 59 3
"387" 182 77 5
"388" 453 65 53
"389" 1481 94 329
"390" 84 1 0
"391" 78 3 2
"392" 186 4 0
"393" 1149 177 183
"394" 1065 82 117
"395" 304 0 2
"396" 1137 136 83
"397" 6 16 2
"398" 716 196 144
"399" 494 43 40
"400" 131 0 3
"401" 1020 58 173
"402" 744 114 68
"403" 4 21 3
"404" 2 24 1
"405" 552 129 91
"406" 904 108 130
"407" 723 44 117
"408" 503 59 64
"409" 198 1 3
"410" 15 0 26
"411" 3 0 24
"412" 827 32 113
"413" 2 14 1
"414" 263 0 4
"415" 667 80 130
"416" 63 0 2
"417" 63 1 2
"418" 666 51 118
"419" 1565 158 7
"420" 72 0 0
"421" 716 123 7
"422" 5 32 2
"423" 184 7 35
"424" 402 38 38
"425" 312 8 21
"426" 130 11 57
"427" 348 31 29
"428" 492 55 97
"429" 140 0 3
"430" 426 35 110
"431" 0 21 1
"432" 790 195 160
"433" 14 188 2
"434" 1 26 1
"435" 69 0 0
"436" 116 2 1
"437" 203 2 1
"438" 99 1 2
"439" 76 3 0
"440" 53 4 23
"441" 887 7 7
"442" 112 21 9
"443" 68 3 1
"444" 11 21 31
"445" 76 0 4
"446" 993 153 262
"447" 681 95 81
"448" 213 1 10
"449" 813 74 22
"450" 117 18 19
"451" 337 20 50
"452" 632 101 78
"453" 129 28 75
"454" 1136 158 132
"455" 832 102 100
"456" 534 73 66
"457" 569 78 45
"458" 4 18 4
"459" 2 18 4
"460" 5 32 7
"461" 13 10 36
"462" 328 50 65
"463" 11 74 6
"464" 93 15 4
"465" 122 2 0
"466" 302 23 50
"467" 1182 61 210
"468" 304 42 33
"469" 377 43 81
"470" 932 118 167
"471" 1097 128 110
"472" 478 116 194
"473" 116 2 4
"474" 643 45 84
"475" 635 24 9
"476" 181 2 1
"477" 601 103 67
"478" 59 3 2
"479" 13 18 0
"480" 416 55 9
"481" 141 1 4
"482" 490 39 67
"483" 115 2 2
"484" 83 1 2
"485" 597 90 39
"486" 2 26 21
"487" 871 81 4
"488" 443 51 89
"489" 370 36 1
"490" 69 1 0
"491" 117 0 0
"492" 83 1 0
"493" 46 1 0
"494" 1095 87 3
"495" 115 0 0
"496" 65 4 0
"497" 99 0 1
"498" 89 0 1
