name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
ENSG00000008196_LINE2_TFAP2B_D_N1	TFAP2B	0.687484654364006	0.523451648957267	0.825170557967243	0.998144843343661	0.999999999999895
ENSG00000008196_LINE3_TFAP2B_D_N1	TFAP2B	0.781190602490293	0.632823923196905	0.907843274140017	0.975206421709595	0.999999999999895
ENSG00000008196_LINE4_TFAP2B_D_N1	TFAP2B	0.879316208686337	0.658038535677593	1.08531132819505	0.847772003912269	0.999999999999895
ENSG00000008196_LINE5_TFAP2B_D_N1	TFAP2B	0.58318297310417	0.481523024419321	0.672056069072541	0.999969907543359	0.999999999999895
ENSG00000008197_LINE6_TFAP2D_D	TFAP2D	0.572010450104974	0.434752883862856	0.690021931598391	0.999982334701664	0.999999999999895
ENSG00000087510_LINE7_TFAP2C_D_N3	TFAP2C	0.595219180048896	0.487338647126267	0.684027226656823	0.99994771141594	0.999999999999895
ENSG00000087510_LINE12_TFAP2C_D_N2	TFAP2C	0.707798090540617	0.576572065087896	0.814423272236796	0.996472001070275	0.999999999999895
ENSG00000087510_LINE13_TFAP2C_D_N2	TFAP2C	0.717540304323273	0.553818715458655	0.840186501170276	0.995277290354823	0.999999999999895
ENSG00000087510_LINE14_TFAP2C_D_N2	TFAP2C	0.882569746523347	0.657954735330678	1.09502252159415	0.840509648538696	0.999999999999895
ENSG00000087510_LINE8_TFAP2C_D_N1	TFAP2C	1.20104148144236	0.952385734710831	1.40943923379078	0.0345957867493845	0.999999999999895
ENSG00000116819_LINE19_TFAP2E_I	TFAP2E	0.814793862670648	0.635165926921991	0.948648592092882	0.949292353886395	0.999999999999895
ENSG00000137203_LINE29_TFAP2A_D_N3	TFAP2A	0.713431996551927	0.578033833455803	0.831681636095336	0.995818457110414	0.999999999999895
ENSG00000137203_LINE20_TFAP2A_D_N2	TFAP2A	0.540725501474847	0.429027590896545	0.643575192935787	0.999996427686281	0.999999999999895
ENSG00000137203_LINE28_TFAP2A_D_N2	TFAP2A	0.731834507192174	0.561794144554839	0.857162376296059	0.992890350352573	0.999999999999895
ENSG00000137203_LINE30_TFAP2A_D_N2	TFAP2A	0.705054719606437	0.554892296206079	0.837526498260515	0.996756395691539	0.999999999999895
ENSG00000137203_LINE21_TFAP2A_D_N1	TFAP2A	0.952386373085666	0.757288048372138	1.11860412425033	0.638385047975864	0.999999999999895
ENSG00000116017_LINE44_ARID3A_D_N1	ARID3A	0.573661610808011	0.446838042900395	0.680695921974059	0.999980864412879	0.999999999999895
ENSG00000116017_LINE45_ARID3A_D_N1	ARID3A	1.00539276280843	0.798407361135277	1.19133161544674	0.451153428041655	0.999999999999895
ENSG00000150347_LINE49_ARID5B_D_N1	ARID5B	0.976387412800361	0.777366867920963	1.13881111338306	0.554534487747499	0.999999999999895
ENSG00000150347_LINE50_ARID5B_D_N1	ARID5B	0.942656760452403	0.772574795187986	1.0847213824603	0.67099232004714	0.999999999999895
ENSG00000179361_LINE51_ARID3B_I	ARID3B	0.607140133118996	0.48370258570174	0.70239210869848	0.999911513825129	0.999999999999895
ENSG00000196843_LINE52_ARID5A_I	ARID5A	0.819080385439762	0.672925785628427	0.933827260154074	0.944854261596929	0.999999999999895
ENSG00000205143_LINE53_ARID3C_I	ARID3C	0.870856111511102	0.659541331534517	1.04061709753515	0.865655364549848	0.999999999999895
ENSG00000189079_LINE54_ARID2_I	ARID2	0.797615120323517	0.560879963928101	0.97966369222778	0.96436580717027	0.999999999999895
ENSG00000137309_LINE57_HMGA1_D	HMGA1	0.600828144204109	0.477536894845666	0.707949291734241	0.999932853258617	0.999999999999895
ENSG00000149948_LINE59_HMGA2_D	HMGA2	0.679887352754387	0.490729396562105	0.837881643188847	0.998559207015009	0.999999999999895
ENSG00000125952_LINE73_MAX_D_N10	MAX	0.738416965809876	0.594974967608356	0.857829438784384	0.991479642966859	0.999999999999895
ENSG00000125952_LINE61_MAX_D_N1	MAX	0.712507478625742	0.550107163381192	0.840368359052489	0.995932474206232	0.999999999999895
ENSG00000125952_LINE74_MAX_D_N1	MAX	1.03777047491487	0.843395335931076	1.2234919567834	0.340934681089892	0.999999999999895
ENSG00000009950_LINE78_MLXIPL_D_N1	MLXIPL	0.853025146017868	0.63564321316163	1.04492419943113	0.898643086714947	0.999999999999895
ENSG00000009950_LINE79_MLXIPL_D_N1	MLXIPL	0.666045097089692	0.502686538162001	0.790970512148806	0.99910707739889	0.999999999999895
ENSG00000029153_LINE80_ARNTL2_I	ARNTL2	0.864985659609072	0.648898308265773	1.07071793019263	0.877215829607589	0.999999999999895
ENSG00000063438_LINE82_AHRR_I	AHRR	0.810501439978462	0.631042665168386	0.949437190631524	0.953454767455236	0.999999999999895
ENSG00000068323_LINE84_TFE3_D_N1	TFE3	1.01022382975946	0.794129412191579	1.18093622284785	0.43416229422942	0.999999999999895
ENSG00000068323_LINE85_TFE3_D_N1	TFE3	0.758513815597836	0.603563309264952	0.897722435346489	0.985600667390594	0.999999999999895
ENSG00000069812_LINE86_HES2_I	HES2	0.659116174417998	0.48917356376604	0.816042758867271	0.999303453959641	0.999999999999895
ENSG00000070444_LINE87_MNT_D	MNT	1.14257144680455	0.903360533134117	1.33846025532871	0.0933509471272869	0.999999999999895
ENSG00000071564_LINE91_TCF3_D_N2	TCF3	0.818597546351271	0.628456052597806	0.985505538634553	0.945368559364532	0.999999999999895
ENSG00000071564_LINE90_TCF3_D_N1	TCF3	0.822060702361353	0.668032500933665	0.945849768586192	0.941597279194016	0.999999999999895
ENSG00000071564_LINE93_TCF3_D_N1	TCF3	0.857468829785586	0.668484678842564	1.01858264416117	0.89101192693359	0.999999999999895
ENSG00000072310_LINE94_SREBF1_D_N3	SREBF1	0.964610383649913	0.764613299831887	1.13464798252151	0.596146219337726	0.999999999999895
ENSG00000072310_LINE96_SREBF1_D_N1	SREBF1	0.689589133708363	0.497083723871664	0.861771253229366	0.998012693589625	0.999999999999895
ENSG00000090447_LINE107_TFAP4_D_N2	TFAP4	1.04473518486286	0.81622395496366	1.22468156078367	0.318713231994127	0.999999999999895
ENSG00000090447_LINE108_TFAP4_D_N2	TFAP4	0.868497650456094	0.692439862330544	1.01574787989629	0.870383138592428	0.999999999999895
ENSG00000090447_LINE103_TFAP4_D_N1	TFAP4	0.70955710855291	0.536950927089398	0.846465826328451	0.996278324693906	0.999999999999895
ENSG00000090447_LINE110_TFAP4_D_N1	TFAP4	0.595575668931882	0.438443455076441	0.749695446372742	0.999946866283578	0.999999999999895
ENSG00000100644_LINE115_HIF1A_D	HIF1A	0.910027513234837	0.655403503709139	1.11932040070875	0.770906464946423	0.999999999999895
ENSG00000101190_LINE116_TCFL5_I	TCFL5	0.738510153416332	0.584464463059418	0.87774315986398	0.991458062309543	0.999999999999895
ENSG00000105698_LINE126_USF2_D_N7	USF2	0.776634777224332	0.61537418414109	0.914838467777273	0.97768092151312	0.999999999999895
ENSG00000105967_LINE129_TFEC_D	TFEC	0.752529723010706	0.569818557529883	0.924103350190317	0.987630089567047	0.999999999999895
ENSG00000106546_LINE130_AHR_D_N1	AHR	0.810501439978462	0.631042665168386	0.949437190631524	0.953454767455236	0.999999999999895
ENSG00000106546_LINE133_AHR_D_N1	AHR	0.910194292798768	0.685152093816851	1.09426245476309	0.770440001128126	0.999999999999895
ENSG00000108788_LINE134_MLX_D	MLX	0.773555458066009	0.6287757263201	0.90276753998805	0.979235590407205	0.999999999999895
ENSG00000111046_LINE136_MYF6_D_N1	MYF6	0.798744297610083	0.571391171849601	0.976186334962077	0.963499787911017	0.999999999999895
ENSG00000111046_LINE137_MYF6_D_N1	MYF6	0.628229988148871	0.440093718526822	0.773626197745359	0.999786426431548	0.999999999999895
ENSG00000112246_LINE139_SIM1_I	SIM1	1.0059468308729	0.809001489299764	1.19072248141731	0.44919820843363	0.999999999999895
ENSG00000112561_LINE140_TFEB_D_N2	TFEB	0.78421637980326	0.637555619072134	0.911845796211587	0.973442357264789	0.999999999999895
ENSG00000113196_LINE142_HAND1_D	HAND1	0.878930452153615	0.648923626067969	1.07695878643378	0.848618905921366	0.999999999999895
ENSG00000114315_LINE146_HES1_D	HES1	0.687761124582668	0.562114010005961	0.786857415626137	0.998127941289374	0.999999999999895
ENSG00000115738_LINE147_ID2_I	ID2	1.2184274299122	0.967648210503621	1.41257973494782	0.0247946572940748	0.999999999999895
ENSG00000116016_LINE149_EPAS1_D	EPAS1	0.664177566915655	0.54289772871639	0.771620373184747	0.999164401247386	0.999999999999895
ENSG00000116990_LINE150_MYCL1_I	MYCL1	1.09126515134898	0.873155578430896	1.28154921195612	0.189944643238415	0.999999999999895
ENSG00000117318_LINE151_ID3_I	ID3	0.710895807937081	0.560950429354083	0.838576337224832	0.996124734381303	0.999999999999895
ENSG00000118526_LINE152_TCF21_I	TCF21	0.763143370239667	0.578202794101014	0.931974971852722	0.983844880103396	0.999999999999895
ENSG00000119950_LINE154_MXI1_D_N1	MXI1	0.676769660962727	0.503342652816105	0.821373729215266	0.99870376321257	0.999999999999895
ENSG00000119950_LINE155_MXI1_D_N1	MXI1	0.660253219343798	0.536884740768496	0.77234519763196	0.999274179047728	0.999999999999895
ENSG00000119950_LINE156_MXI1_D_N1	MXI1	0.771605634639218	0.580588486184295	0.945840541794478	0.98017297274191	0.999999999999895
ENSG00000122180_LINE160_MYOG_D	MYOG	0.612934904260075	0.476955166388387	0.723939459731466	0.999886572434066	0.999999999999895
ENSG00000122691_LINE162_TWIST1_D	TWIST1	0.89782326503359	0.743654362339842	1.0075907668181	0.803643244477808	0.999999999999895
ENSG00000122859_LINE163_NEUROG3_I	NEUROG3	1.00221087571337	0.793336452597661	1.16174963593451	0.462410295570771	0.999999999999895
ENSG00000123095_LINE165_BHLHE41_D_N2	BHLHE41	0.871310400188851	0.699561168518903	1.02896467709059	0.864731810323302	0.999999999999895
ENSG00000123095_LINE167_BHLHE41_D_N1	BHLHE41	0.738269200387203	0.574504540408187	0.883182855858847	0.991513767077705	0.999999999999895
ENSG00000125533_LINE171_BHLHE23_D	BHLHE23	0.903978461512263	0.69507173780549	1.07905490085901	0.787481295090108	0.999999999999895
ENSG00000125878_LINE172_TCF15_I	TCF15	0.789638509755606	0.605356779963784	0.951307080909322	0.970026509851614	0.999999999999895
ENSG00000125968_LINE173_ID1_I	ID1	1.2184274299122	0.967648210503621	1.41257973494782	0.0247946572940748	0.999999999999895
ENSG00000129152_LINE176_MYOD1_D_N3	MYOD1	0.709152972303963	0.541942977392464	0.862729173675864	0.996323629248881	0.999999999999895
ENSG00000130751_LINE178_NPAS1_I	NPAS1	1.0059468308729	0.809001489299764	1.19072248141731	0.44919820843363	0.999999999999895
ENSG00000133794_LINE179_ARNTL_D_N1	ARNTL	0.946655653117031	0.752999278804042	1.11364570047595	0.657716600388021	0.999999999999895
ENSG00000133794_LINE180_ARNTL_D_N1	ARNTL	0.725597738932229	0.548716245394495	0.878746757063093	0.994036301648384	0.999999999999895
ENSG00000134107_LINE183_BHLHE40_D_N3	BHLHE40	0.792437535435186	0.605887882632955	0.945785515026767	0.968129147462766	0.999999999999895
ENSG00000134323_LINE186_MYCN_D_N2	MYCN	0.870079572515676	0.659790533547781	1.04153436108261	0.867224399797649	0.999999999999895
ENSG00000134852_LINE191_CLOCK_D	CLOCK	0.869918450493312	0.644411416971151	1.06086621686361	0.867548431033058	0.999999999999895
ENSG00000135547_LINE193_HEY2_D_N2	HEY2	0.74954948158426	0.582627458740602	0.89098513073428	0.988547005970219	0.999999999999895
ENSG00000135547_LINE194_HEY2_D_N1	HEY2	0.838468886724331	0.656938095436404	0.993192184244898	0.920992520106129	0.999999999999895
ENSG00000136997_LINE202_MYC_D_N7	MYC	1.14123746371132	0.876300433393404	1.36092779027012	0.0952710273935466	0.999999999999895
ENSG00000140262_LINE216_TCF12_D_N3	TCF12	0.589418029136485	0.46813815547589	0.686501403719008	0.999959826575812	0.999999999999895
ENSG00000143437_LINE220_ARNT_D_N2	ARNT	1.09430323756711	0.88291246826731	1.27881878270036	0.182873598401063	0.999999999999895
ENSG00000143437_LINE222_ARNT_D_N1	ARNT	0.933197607551302	0.736026661739889	1.06439177982532	0.701600121537165	0.999999999999895
ENSG00000146618_LINE224_FERD3L_I	FERD3L	0.85687993732548	0.648166926554124	1.00235021790268	0.892045474040322	0.999999999999895
ENSG00000151322_LINE225_NPAS3_I	NPAS3	1.0059468308729	0.809001489299764	1.19072248141731	0.44919820843363	0.999999999999895
ENSG00000158773_LINE237_USF1_D_N10	USF1	0.731410856019207	0.553013830707266	0.896084103012332	0.992973801662018	0.999999999999895
ENSG00000158773_LINE230_USF1_D_N2	USF1	0.89857644285645	0.716431107018434	1.0410636242596	0.801704482395428	0.999999999999895
ENSG00000159263_LINE238_SIM2_I	SIM2	1.0059468308729	0.809001489299764	1.19072248141731	0.44919820843363	0.999999999999895
ENSG00000162367_LINE243_TAL1_D_N1	TAL1	0.608413647449124	0.496773728493137	0.705916639190731	0.999906512328811	0.999999999999895
ENSG00000162367_LINE244_TAL1_D_N1	TAL1	0.881936544555481	0.682929956929189	1.04856068410443	0.841939765733867	0.999999999999895
ENSG00000162992_LINE247_NEUROD1_D	NEUROD1	0.797434611177644	0.625638005012683	0.940542167560101	0.964502717145318	0.999999999999895
ENSG00000163792_LINE248_TCF23_I	TCF23	0.768539952882598	0.611894107729561	0.906976198269876	0.981575828536597	0.999999999999895
ENSG00000163909_LINE249_HEYL_I	HEYL	0.821759708922105	0.593963247383248	1.02722701364686	0.941932714336069	0.999999999999895
ENSG00000164107_LINE250_HAND2_I	HAND2	0.878930452153615	0.648923626067969	1.07695878643378	0.848618905921366	0.999999999999895
ENSG00000164330_LINE251_EBF1_D_N2	EBF1	0.672587839216319	0.504444127671495	0.822545891263049	0.998877224816334	0.999999999999895
ENSG00000164330_LINE255_EBF1_D_N1	EBF1	0.74145141539179	0.583609734022816	0.871995283344083	0.990752417346246	0.999999999999895
ENSG00000164683_LINE258_HEY1_D	HEY1	0.89112473181904	0.675942890654861	1.06285686880828	0.820400184335867	0.999999999999895
ENSG00000166823_LINE260_MESP1_D	MESP1	0.777438809735753	0.560801524312096	0.955254815364171	0.977259600039553	0.999999999999895
ENSG00000168267_LINE261_PTF1A_D	PTF1A	0.912358184452092	0.666625849709007	1.12643276021748	0.764342609313825	0.999999999999895
ENSG00000168874_LINE262_ATOH8_I	ATOH8	0.747860869111794	0.615198840162379	0.851462899413607	0.989040463824091	0.999999999999895
ENSG00000170485_LINE263_NPAS2_I	NPAS2	0.828036334770598	0.613999651493351	0.981435481990793	0.934628465176367	0.999999999999895
ENSG00000171532_LINE264_NEUROD2_D	NEUROD2	0.847173902138832	0.621460520027612	1.07132657839175	0.908107829671925	0.999999999999895
ENSG00000171786_LINE269_NHLH1_D_N3	NHLH1	0.64611090065084	0.463568965803709	0.794276125207012	0.999570102547948	0.999999999999895
ENSG00000171786_LINE267_NHLH1_D_N3	NHLH1	0.717927964483613	0.519934816208824	0.887915278811585	0.995223202554935	0.999999999999895
ENSG00000172201_LINE271_ID4_D	ID4	0.710895807937081	0.560950429354083	0.838576337224832	0.996124734381303	0.999999999999895
ENSG00000172379_LINE273_ARNT2_D	ARNT2	0.624119425254718	0.484626279869356	0.751238986481812	0.999819254947142	0.999999999999895
ENSG00000174576_LINE275_NPAS4_I	NPAS4	0.844978836291608	0.694919952746512	0.964031496194817	0.911490098647939	0.999999999999895
ENSG00000175727_LINE276_MLXIP_I	MLXIP	0.882443087652066	0.688125967782263	1.0284875378607	0.840796359562517	0.999999999999895
ENSG00000177468_LINE279_OLIG3_D	OLIG3	0.815412740436006	0.639360436744573	0.950921558055894	0.948669212135512	0.999999999999895
ENSG00000177551_LINE280_NHLH2_I	NHLH2	0.689176916549317	0.516828349455261	0.828911360508573	0.998039219263118	0.999999999999895
ENSG00000178403_LINE282_NEUROG2_D_N2	NEUROG2	0.770684588017007	0.557165113688977	0.974000995409739	0.980603436765338	0.999999999999895
ENSG00000178860_LINE283_MSC_D	MSC	0.841675914484933	0.618988177072438	1.0206909601209	0.916409174957091	0.999999999999895
ENSG00000179111_LINE284_HES7_D	HES7	0.797689720498915	0.601839177490139	0.9655636427468	0.96430910273462	0.999999999999895
ENSG00000179774_LINE285_ATOH7_I	ATOH7	1.16470464973129	0.937125593493697	1.31824019263697	0.0656086272849605	0.999999999999895
ENSG00000180535_LINE286_BHLHA15_D	BHLHA15	0.770492098253946	0.603459337232477	0.90920568772565	0.980692414485706	0.999999999999895
ENSG00000180828_LINE287_BHLHE22_D	BHLHE22	0.714196066044972	0.549440745049089	0.847378802634083	0.995722125947244	0.999999999999895
ENSG00000181965_LINE288_NEUROG1_I	NEUROG1	0.948640030232112	0.733690274872049	1.13670297686318	0.651061707011502	0.999999999999895
ENSG00000183733_LINE289_FIGLA_D	FIGLA	1.20390990614541	0.95619032646058	1.40671137517659	0.0327851209357948	0.999999999999895
ENSG00000183734_LINE290_ASCL2_I	ASCL2	0.704974633843185	0.553361310766656	0.832298477530256	0.996764385471078	0.999999999999895
ENSG00000184221_LINE291_OLIG1_D	OLIG1	0.849617722536214	0.668531178520757	0.981509603804179	0.904234700216914	0.999999999999895
ENSG00000187098_LINE295_MITF_D	MITF	0.77411032666465	0.601787069141671	0.926471561717019	0.978962248747018	0.999999999999895
ENSG00000187728_LINE296_ENSG00000187728_I	ENSG00000187728	0.763143370239667	0.578202794101014	0.931974971852722	0.983844880103396	0.999999999999895
ENSG00000187786_LINE297_SCXB_I	SCXB	0.789638509755606	0.605356779963784	0.951307080909322	0.970026509851614	0.999999999999895
ENSG00000188095_LINE300_MESP2_I	MESP2	0.777438809735753	0.560801524312096	0.955254815364171	0.977259600039553	0.999999999999895
ENSG00000188290_LINE301_HES4_I	HES4	0.920765793019124	0.719969684455062	1.07880270868954	0.739876765923812	0.999999999999895
ENSG00000188686_LINE302_SCXA_I	SCXA	0.789638509755606	0.605356779963784	0.951307080909322	0.970026509851614	0.999999999999895
ENSG00000196628_LINE303_TCF4_D_N3	TCF4	0.845643708639266	0.633894204342858	1.00693666275713	0.910475226420348	0.999999999999895
ENSG00000197921_LINE306_HES5_D_N2	HES5	0.830627358545419	0.609206756406635	1.02499451211781	0.93141965380272	0.999999999999895
ENSG00000198911_LINE308_SREBF2_D_N1	SREBF2	1.06610474031257	0.787882493963308	1.32092255473527	0.255001968168066	0.999999999999895
ENSG00000198911_LINE311_SREBF2_D_N1	SREBF2	0.789122069832028	0.614095623345363	0.937954190941493	0.970366415707546	0.999999999999895
ENSG00000198911_LINE312_SREBF2_D_N1	SREBF2	0.61154904414317	0.46989989077825	0.739274734520781	0.999893065998077	0.999999999999895
ENSG00000205927_LINE315_OLIG2_D_N2	OLIG2	0.923891371543962	0.749689360803888	1.06590344428639	0.730479595256562	0.999999999999895
ENSG00000233608_LINE317_TWIST2_I	TWIST2	0.867920407704306	0.675536838215092	1.03224994864768	0.871523208522208	0.999999999999895
ENSG00000250811_LINE320_ENSG00000250811_I	ENSG00000250811	1.0059468308729	0.809001489299764	1.19072248141731	0.44919820843363	0.999999999999895
ENSG00000174197_LINE321_MGA_D_N1	MGA	0.701559416813442	0.543981613925975	0.820111227763903	0.997089375139443	0.999999999999895
ENSG00000174197_LINE322_MGA_D_N1	MGA	0.61504623524951	0.500895611397726	0.703034761220161	0.999875978342212	0.999999999999895
ENSG00000174197_LINE323_MGA_D_N1	MGA	0.762377559793601	0.606498813590226	0.899589099010965	0.984147096165494	0.999999999999895
ENSG00000060566_LINE327_CREB3L3_I	CREB3L3	0.718672017814695	0.548458224103495	0.859183455154198	0.995117873981704	0.999999999999895
ENSG00000075426_LINE328_FOSL2_D_N3	FOSL2	0.653589693799105	0.528224933404362	0.757819994945636	0.999431099365847	0.999999999999895
ENSG00000082641_LINE332_NFE2L1_D_N2	NFE2L1	0.97295130419316	0.746227427636967	1.16190039817067	0.566741116434133	0.999999999999895
ENSG00000092067_LINE336_CEBPE_D_N1	CEBPE	1.13919575664259	0.910293358850577	1.3074820816138	0.0982672089676253	0.999999999999895
ENSG00000092067_LINE337_CEBPE_D_N1	CEBPE	1.19888581609264	0.943082712147967	1.39096803447006	0.0360108093665771	0.999999999999895
ENSG00000095794_LINE339_CREM_D	CREM	0.780395958655626	0.640154660741639	0.8885907386883	0.975653483524943	0.999999999999895
ENSG00000100219_LINE344_XBP1_D_N4	XBP1	0.78806221054465	0.641755670484559	0.899341631499209	0.971054233441471	0.999999999999895
ENSG00000100219_LINE343_XBP1_D_N1	XBP1	0.914627123096362	0.728663566640899	1.07203073571355	0.757860047851368	0.999999999999895
ENSG00000105516_LINE349_DBP_D_N2	DBP	0.971485440560324	0.77864360427991	1.13824083604068	0.571934347166376	0.999999999999895
ENSG00000105516_LINE351_DBP_D_N1	DBP	1.12429296276665	0.916664977747706	1.30768601564011	0.122304941222081	0.999999999999895
ENSG00000107175_LINE352_CREB3_D_N1	CREB3	0.718672017814695	0.548458224103495	0.859183455154198	0.995117873981704	0.999999999999895
ENSG00000107175_LINE353_CREB3_D_N1	CREB3	0.906605687929583	0.753341418476283	1.04080751965496	0.780365320029299	0.999999999999895
ENSG00000108924_LINE356_HLF_D_N4	HLF	1.05266877628198	0.859987801491143	1.20477027662731	0.294231349963793	0.999999999999895
ENSG00000112182_LINE360_BACH2_D	BACH2	1.05783360878654	0.874832160139571	1.2022501873625	0.278806167201121	0.999999999999895
ENSG00000115966_LINE362_ATF2_D_N1	ATF2	0.763535577075646	0.626187159084919	0.861458218165616	0.983688246062341	0.999999999999895
ENSG00000115966_LINE363_ATF2_D_N1	ATF2	0.764509488175949	0.612313905193524	0.882186351716211	0.983293804754817	0.999999999999895
ENSG00000116044_LINE367_NFE2L2_D	NFE2L2	0.829907080561019	0.660460819594856	0.977513554496075	0.932323243253429	0.999999999999895
ENSG00000118217_LINE369_ATF6_D_N2	ATF6	0.71336567200718	0.514315779194172	0.880011158336054	0.995826728807564	0.999999999999895
ENSG00000118260_LINE378_CREB1_D_N5	CREB1	0.751284371883098	0.609679514429289	0.877098723843138	0.988020524186111	0.999999999999895
ENSG00000118260_LINE376_CREB1_D_N1	CREB1	0.758156609383471	0.578837295684023	0.87863182760222	0.985729204421517	0.999999999999895
ENSG00000118260_LINE377_CREB1_D_N1	CREB1	0.912904841592572	0.715250729463357	1.07421804009881	0.762789049890706	0.999999999999895
ENSG00000123268_LINE383_ATF1_D	ATF1	0.966558388008171	0.749912245173317	1.13967217539349	0.589313054575413	0.999999999999895
ENSG00000123405_LINE390_NFE2_D_N3	NFE2	0.781540473938511	0.607554927782401	0.936283012698354	0.975007470896838	0.999999999999895
ENSG00000123405_LINE389_NFE2_D_N1	NFE2	0.870277064723169	0.683137119978281	1.01600959995028	0.866826510575302	0.999999999999895
ENSG00000123685_LINE392_BATF3_D	BATF3	0.77865824462811	0.604964880843805	0.927861009396741	0.976608158234917	0.999999999999895
ENSG00000125740_LINE393_FOSB_D	FOSB	1.00042389442559	0.75007599626826	1.23807495483126	0.468751317772876	0.999999999999895
ENSG00000128272_LINE397_ATF4_D	ATF4	1.02970620111658	0.762730472321453	1.22614531599146	0.367429975259979	0.999999999999895
ENSG00000129535_LINE398_NRL_D	NRL	0.775678209504053	0.580449692669992	0.948470829067806	0.978173793109174	0.999999999999895
ENSG00000130522_LINE411_JUND_D_N6	JUND	0.783703155967241	0.619119946271557	0.929026040897457	0.973748563634086	0.999999999999895
ENSG00000130522_LINE400_JUND_D_N2	JUND	0.787571900419375	0.614714559292898	0.918815629131028	0.971368031210381	0.999999999999895
ENSG00000130522_LINE405_JUND_D_N1	JUND	0.847165106258841	0.695849446597173	0.972854147438337	0.908121564622826	0.999999999999895
ENSG00000130522_LINE409_JUND_D_N1	JUND	0.791279155345883	0.650204973571641	0.904438840718571	0.968925759223319	0.999999999999895
ENSG00000140044_LINE415_JDP2_D_N2	JDP2	0.824751553400848	0.627714467224609	1.00114796455406	0.938532661106022	0.999999999999895
ENSG00000140044_LINE418_JDP2_D_N2	JDP2	0.765665625240597	0.614762880106911	0.88321243054387	0.982815259435243	0.999999999999895
ENSG00000143578_LINE419_CREB3L4_I	CREB3L4	0.718672017814695	0.548458224103495	0.859183455154198	0.995117873981704	0.999999999999895
ENSG00000146592_LINE421_CREB5_I	CREB5	0.879845631401901	0.650767387080357	1.1011009058194	0.846604801677196	0.999999999999895
ENSG00000153879_LINE428_CEBPG_D_N2	CEBPG	1.07130968033726	0.888719626082833	1.21128480317954	0.240615133620538	0.999999999999895
