cell_54	cell_68	cell_70	cell_78	cell_89	cell_109	cell_113	cell_114	cell_115	cell_117	cell_118	cell_120	cell_124	cell_125	cell_134	cell_135	cell_137	cell_141	cell_154	cell_157	cell_165	cell_171	cell_173	cell_175	cell_176	cell_177	cell_183	cell_184	cell_187	cell_188	cell_189	cell_192	cell_194	cell_195	cell_197	cell_200	cell_201	cell_202	cell_203	cell_205	cell_217
ENSG00000008196_LINE2_TFAP2B_D_N1	0.271746221612447	-0.173035366705048	-0.0876035272843039	-0.083246334299867	0.411797477397553	1.37530117129721	1.01039179893008	1.48150808906038	1.1622850354719	0.957588571255017	0.494669698494156	1.20461457981613	1.13404795083409	0.386928453387592	1.2356805962136	0.628110131500864	1.10723372239291	-1.00246083442421	-0.791336943861463	-0.737060732938416	-0.345807367114449	-0.752775131102685	-1.34381930517546	0.325272775300528	0.0674635509312237	-0.776334363761247	-1.55696808964272	-1.28089898021885	-0.244998173739592	-1.34839389928868	-1.379089750048	-0.671251856876345	-1.23045323454319	-0.111125066299622	-0.914881995051723	-1.26483867712187	-0.131068886117695	0.32125621087922	-0.163404174435168	-0.269373177184507	0.275638709525827
ENSG00000008196_LINE3_TFAP2B_D_N1	0.906961188479895	0.656647135869435	-0.0596577402281753	-0.386916326668962	0.78733134179874	0.664362191069233	0.237372151618362	0.669824880444867	0.765890395769838	0.377037895078902	-0.454844490161743	0.769289244620963	0.654141827286603	0.468915508484619	0.326384466250428	0.0906878953353295	-0.280194989953102	-0.096193330893555	0.359958665842585	0.752634464981603	-0.708698283468874	-0.100389136837696	-0.807733839998762	0.290473717825037	-0.52905268669913	-1.10663699939832	-0.440323712831864	-0.946418054785416	-0.292682622247987	-0.327628202674286	-0.62689196303	-0.742174078259109	-0.562219494702947	-0.210872662190882	-0.851026014703788	-0.87545088620285	-1.16442116190244	-0.15321080775302	0.0881461890528912	-0.331379756631221	-0.539839672914884
ENSG00000008196_LINE4_TFAP2B_D_N1	-0.372319421484938	-0.582736302672454	0.771148077893702	0.0496453889300071	-0.0216310160747685	0.941091167976858	0.31531089496844	1.1939916055729	0.896174072112035	0.309524824595786	0.560340213358162	0.467755704110216	0.375638878278336	0.557631752646582	0.566139139865739	0.0394646043245391	0.756234410118029	-0.621343102836782	-0.683053951780445	-0.925218076753248	-0.926099321996346	0.158875537831923	-0.723913308137204	-0.975886278260593	-0.932096105630178	0.0304130534281954	-0.85640375226118	0.672692892588967	0.243642379407692	-0.870534424013908	-0.0144101189965311	0.0699909335306476	-0.505724974668101	-0.309840805713742	-0.292275371463212	-0.186684901619363	0.228682846596033	-0.276436294457062	-0.481746363769441	0.164397362740963	-0.305993995463733
ENSG00000008196_LINE5_TFAP2B_D_N1	0.0509054854858112	-0.207729435573342	-0.555960667200601	-0.26833721680947	0.808677579452075	0.237783207685288	0.296066864964819	0.13796853280285	-0.486604096866193	0.250698371256896	0.607304137473032	0.311890699892387	0.438112971395038	0.596151206366892	0.50132567582148	0.150001158245344	-0.467093732598791	-0.796129059404664	-0.683740068478994	-0.918916985810955	-0.685873667104806	-0.68244712154098	-0.404926667524431	0.0667964999824992	-0.399897729128658	0.889039080842194	0.487575507046992	-0.177369890550719	0.0381129924598467	0.03559648047786	0.307146756542797	0.387872819775144	0.17651292498858	0.324458911107231	0.196613659133601	0.236326270829361	0.367456171100953	0.0204533823104523	-0.0751706018489985	0.6939332702407	0.118425093243721
ENSG00000008197_LINE6_TFAP2D_D	0.281635008992771	0.0546509547249654	-0.431974206811467	-0.169026981223607	-0.0274343256955477	0.207452618825432	0.156812718929319	0.0423918091242253	0.0247191589697391	0.340667530107458	0.248241629207744	0.36937188503647	0.111248698801735	0.182486197940334	0.0834746987956089	-0.258308230432133	-0.588781466713351	-0.15916835433693	-0.310630451650062	-0.32479906761998	-1.02172553336863	-0.119905248514517	-0.25571164158882	-0.185349867427071	0.0474882333824431	0.53931288913832	0.48791220074682	-0.353366076490965	0.124759385286631	0.215184967474359	0.146040899800969	0.188352728082976	-0.0484669582846556	0.571197137757452	0.213207880048985	0.0448695271256926	0.591440192440795	0.471914091187134	-0.25404844087243	-0.105331447007267	-0.138226155950685
ENSG00000087510_LINE7_TFAP2C_D_N3	0.254496325443756	0.447710679118571	-0.0024774642495879	-0.0485018682154706	0.280129234637447	0.0200432118010181	-0.212163775943358	0.114352310031854	-0.234211138116648	0.0279005934632695	-0.017408939167809	-0.0447237930782016	-0.00797451681136578	-0.0113393309351457	0.127794591729734	-0.294889221628197	-0.71145769290045	-0.416372608740147	-0.775320897813697	-0.469584786834346	-1.18904308591303	0.322260477469423	0.138017419000377	0.30489692141066	0.462494036912261	0.575911961492199	0.144221130006279	0.324114351324239	0.100273721713123	-0.0118003910816066	0.308453267227013	0.51654800443975	0.390117312869566	0.0976314069945454	-0.269929576312578	0.259161141158676	0.13276483594194	0.397274010112041	0.207347974008689	0.129653647538163	-0.792963341062837
ENSG00000087510_LINE12_TFAP2C_D_N2	0.263835861385586	-0.157862032533571	-0.0775716879710585	-0.0956719299694454	0.346980785506553	1.4475166890891	1.035498369907	1.44153546953346	1.16930361514106	0.930883863651368	0.488788563060513	1.1581858538797	1.15678811794672	0.352214097664159	1.22575248921695	0.632662260356672	1.10425447594876	-0.860237331498285	-0.640933539305132	-0.74972965913285	-0.261342103606075	-0.680440935376831	-1.35218062702846	0.35817322420868	0.0626007379611669	-0.780048249775135	-1.54269205682648	-1.2960651557907	-0.256681783133497	-1.41433821485833	-1.37233214870514	-0.70634597539979	-1.2346129788671	-0.108086677145042	-1.00079826858574	-1.3360670653829	-0.127282866524138	0.303469434282432	-0.20356727267698	-0.325521650677336	0.254253492471476
ENSG00000087510_LINE13_TFAP2C_D_N2	1.20682762683444	0.904346682813634	0.565897665325599	-0.240387811681359	0.946244202237497	0.484330776716229	-0.00796038232646828	0.902192765023521	1.19951818026652	0.371234095916578	-0.936788794965478	0.827639354580228	0.369035062042427	0.117942563834242	0.517281310632547	-0.000993325050022082	-0.596789436839969	-0.279162386617068	0.340209828160095	0.668084728588022	-0.760422038886239	-0.19163341301353	-0.861625903391315	0.408962648938346	-0.538946320230572	-0.919063491287255	-0.516557770073	-0.913557409379413	-0.116210102415428	-0.603274045604124	-1.10144531012582	-1.48336053292491	-1.15797230858799	-0.597277119010163	-0.538678578180904	-1.05301923815706	-1.08826214628459	-0.135327315490686	0.482539728585041	0.0383099142600989	-0.588642737183301
ENSG00000087510_LINE14_TFAP2C_D_N2	-1.07037717822289	-1.16140617663734	0.201675217463089	0.212684759740271	-0.679223314595014	0.590058356690771	1.19617045205545	1.33835163176291	0.857918238889283	0.525474871396164	0.566824806916344	0.881694579820959	0.782321128931598	0.42478036448995	1.33367306636797	0.604410176452874	1.39358837193012	-0.418552358259937	-0.31882864112669	-0.910531828796247	-0.205554281776122	0.5422008364644	-1.41433945369403	-1.02773130082134	-0.260286576644183	-0.433610910894028	-1.10541013240329	0.549689519134807	-0.223291047866392	-0.103486275426129	-1.0334341520121	0.394067853914522	-0.571080411546569	0.216879744901558	-0.0208327527607212	-0.608462198767351	-0.468978823210007	-0.18775986639936	-0.123116539791182	-0.455547675705601	-0.0860694736019303
ENSG00000087510_LINE8_TFAP2C_D_N1	-0.0838236718779254	0.148784703339433	-0.621641574802697	-0.449749385624711	0.931992263113132	-0.119229584551087	-0.266771073300386	-0.308830462688144	0.357473618688577	1.28872977436256	0.321589465161491	0.180157410676703	0.0473328183082179	0.390191246298503	-0.196801263166091	0.455797654005722	0.7352811753495	-0.949508487477925	0.0550916978097247	0.410652873850601	-0.382506641591731	-1.20813974800151	-0.730633194439789	-0.859702915842435	-1.05621019204917	0.0292654329624342	0.423655054736935	-0.988030401551005	-0.170789449362434	0.126309534523566	0.436355221864018	0.264175475168919	-0.350128997093206	0.0478876419632676	-0.608685341102371	0.0418915228421	-0.259287481571137	0.17989794209734	0.0677915629856294	0.447547971733365	1.06047989674435
