cell_54	cell_68	cell_70	cell_78	cell_89	cell_109	cell_113	cell_114	cell_115	cell_117	cell_118	cell_120	cell_124	cell_125	cell_134	cell_135	cell_137	cell_141	cell_154	cell_157	cell_165	cell_171	cell_173	cell_175	cell_176	cell_177	cell_183	cell_184	cell_187	cell_188	cell_189	cell_192	cell_194	cell_195	cell_197	cell_200	cell_201	cell_202	cell_203	cell_205	cell_217
ENSG00000008196_LINE2_TFAP2B_D_N1	-0.324436824089024	0.00268952392737699	0.157084253285416	-0.310049070907067	0.0997738369517458	0.735548918988198	1000	-0.440509673636246	0.233063563989837	0.465970338803304	0.589193624987054	0.351861248563935	1.08768712759329	-0.638288648107238	-0.0891931482675016	-0.364618790995225	-0.0789855237913718	0.58131434331953	0.408092195867167	0.862806365181336	0.724673625074314	0.580224056715802	-0.57898699049867	-0.101187538534902	0.0103975834698841	0.603705325431311	0.717176453484537	-0.786062714073115	-0.133420760003812	-0.248362069769386	0.203419590929476	0.167872670434097	0.182716625095737	0.459026382165716	-0.508004195915429	-0.0474373163146191	-0.381330139192998	-1.39772129100845	0.000980486734652994	-0.678239379806745	-0.708038776180704
ENSG00000008196_LINE3_TFAP2B_D_N1	-0.511458536598256	-0.0200361124142317	-0.0501590610215893	0.055391200563555	-0.184925822592205	0.163848219755359	-0.3760619006352	0.404063399831357	0.610756870973174	-0.756780759655612	-0.969692068836369	0.712427726066523	0.112330861910544	0.124726701555228	-0.933581836339496	1.12607592890446	0.689436567908376	0.379977123678542	-0.360217048248775	-0.116969578236972	-0.11881989124658	-0.215684618970686	0.443288766023817	-0.154334892578134	0.242205942290843	-0.527889268413114	0.3739788306401	0.89069294042608	0.187339797273822	-0.486878903221583	0.823337786826049	-0.0830351736031182	-0.438321581027067	-0.108780501723251	-0.546408879258334	0.275518036556886	-0.319469716581299	-0.789610150690874	0.589314480307606	0.44477859536003	0.150988411185271
ENSG00000008196_LINE4_TFAP2B_D_N1	1.46138815935704	0.75573324474773	0.64253281204786	1.02455169489902	-0.438709486060068	-0.499163344598394	1000	0.15295843965246	-0.839449994789998	-0.118102474643662	-0.639580078085274	-0.942447965251429	-0.198073771979233	-0.411571263428411	-0.496279169490545	-0.131749197586937	-0.36358661770608	0.968901606909805	0.429579172024407	0.857774599886673	-0.282461668156867	-0.28027510143157	-0.431696021780722	-1.13018262868804	-0.283306096978368	-0.127852283477183	-0.289005505384349	0.190521554249688	-0.801246408495734	-0.478501372730261	-0.0950042831249073	-0.897722381541592	-0.163489984921752	0.184327908678969	-0.498232027253816	-0.592070422584052	0.865980061539161	-1.25259508061045	-1.36084685430812	-1.16125492475432	0.515005557678933
ENSG00000008196_LINE5_TFAP2B_D_N1	-0.215902160146086	0.443277984338393	0.165156957366585	-0.216162185919066	0.185701906645271	-0.388423296468541	-0.897914970537468	-0.0168997267308152	0.546374845100199	0.362185919678785	0.883724468574148	-0.165719715022974	0.506452888047052	-0.269576780443686	0.296592703378965	-0.768723951609398	-0.789646631492326	0.118726002030929	0.238433390108837	0.358506319128456	0.107515203842782	0.747844498286241	-0.18071882521945	0.455000157452661	-0.356387957039338	0.298803808295131	-0.388384713999005	-0.646343729339223	0.254653167920415	-0.11720779172234	-0.296811752336556	-0.401230247060262	0.905926048343004	0.342239213115919	-0.736264511661157	0.110245053225968	0.636370335927848	-0.67503490661967	-0.146495648554989	-0.404609284689864	-0.547227386805038
ENSG00000008197_LINE6_TFAP2D_D	-0.0178795074411217	0.50149210226622	-0.261338695486377	0.0655736422022676	-0.060930716721354	-0.116212936729329	-0.0759234541116051	0.139332052539403	0.0829871447458291	0.277312261025887	0.145865358528571	0.677248220828232	-0.0181608649544698	-0.133607375421088	-0.582741864372626	0.161663006789067	-0.27950329431954	0.292002559157106	0.568660126151449	0.158770170025788	0.331371727140006	0.530791400079117	-0.179376012093946	-0.0312951823374199	0.0526744216589044	-0.122671271522252	-0.308952822125331	-0.133898249216682	-0.373903220265248	-0.455658386299302	-0.249826737635985	-0.133904524611204	0.104553141056709	-0.154005361987984	-0.407837464324424	-0.132987472764763	0.155414080857534	-0.0837960705703767	-0.171871233243646	-0.301468975486003	0.108052505085034
ENSG00000087510_LINE7_TFAP2C_D_N3	-0.546447556109335	-0.313902007285181	-0.0504483214777492	-0.112421782105055	0.113167349544472	0.269528586164971	-0.846851829251168	-0.0385615757217127	-0.131150166753334	0.974369903552551	0.45695031235524	0.513061772546785	0.860899893365141	-0.0297223301533313	0.0170775457677832	-0.0457435759536739	-0.133234251663637	0.505337677742867	0.256442754978269	0.201517106055296	0.319300094879531	-0.129947506631133	-0.0663415507480232	0.0634872556667036	-0.288621333009732	0.0584138149687062	0.754273389866983	0.21681018795287	0.293270769257415	-0.0838022688042624	0.435540525987786	0.342951040889372	-0.0338435789110425	0.180108259412636	-0.235893481107063	0.146401021323011	-0.449192535622442	-1.56554112191082	0.451160465732558	-0.0489624963847271	-0.744013416434062
ENSG00000087510_LINE12_TFAP2C_D_N2	-0.242981516184656	0.0749902693431224	0.123155094892039	-0.456793183076177	0.115718284290223	0.733583038733672	1000	-0.441639043218684	0.231891743289598	0.463447148005501	0.588401463627704	0.351992408782073	1.08283694243841	-1.00318807534239	-0.105441066140531	-0.364972683906919	-0.0805546243975679	0.556350787293133	0.562857783208391	0.743076102365977	0.705167179167758	0.342569769095137	-0.38246355819021	-0.0885865144409682	0.153742364094922	1.11040296194706	0.5321793174765	-0.775610262184069	-0.123625825095296	-0.193328956263523	0.0439575300580329	0.220964638388913	0.256917298257857	0.244272932563356	-0.505741106730191	-0.040559086896524	-0.323828496099937	-1.25451259483187	0.0123508916119993	-0.662258800048204	-0.626842901003399
ENSG00000087510_LINE13_TFAP2C_D_N2	-0.693743497028002	-0.111482755081082	0.156193367968238	0.0892420341714082	-0.157515916843841	-0.783378435088654	-0.653744444366114	0.87370937081215	0.115312298368048	-0.638977249471091	-1.00314463723435	0.963312675260735	0.142713324909027	0.321664288021359	-0.938132393699297	0.741930921877406	0.636064229354094	-0.0291890501717331	-0.293693628697709	-0.602081169977929	-0.571362271211992	-0.449286979237388	1.17339910399562	-0.221705115271213	0.587105166527789	-0.253143812358534	0.35842650855177	0.548200765389301	0.159829709326876	0.116108550451431	0.451344280832508	0.218447399755535	-0.206419932513704	-0.461038948296111	-0.673062314153684	0.230628243979433	-0.130423765662473	-0.498014802969313	0.754878067931082	0.73287366990773	0.695742471927914
ENSG00000087510_LINE14_TFAP2C_D_N2	1.13778098040504	0.743124164041005	0.230990625910143	0.77987801704713	-0.0807890793531862	-0.459272300198385	1000	0.390439908486928	-0.625012950020193	-0.204096108167618	-0.742204536279211	-0.675064056927916	-0.302916519787764	-0.531503175779545	-0.364221568156553	-0.135165785704201	0.1399632243691	1.2110648656762	0.264419811463579	0.587952824148984	-0.0838233319627016	0.117305299372723	-0.148443281848296	-0.729897797369411	-0.1221788343021	-0.1537009773802	-0.526890297659717	0.0236840331638939	-0.520288677670549	-0.707889659189595	-0.293509562621919	-0.481347126388069	-0.081206258954308	-0.144620291406437	-0.741389713707923	-0.500770161808262	1.30585982406811	-1.12502485039936	-1.03684730736358	-1.18763806325001	0.677166861809872
ENSG00000087510_LINE8_TFAP2C_D_N1	-0.122574734182474	-0.455259357638712	0.196577581146931	-0.0316672810238084	0.115514031879923	0.22821959656727	-0.895047771778822	0.446788102277304	0.034753197650665	-0.341002589408648	-0.0205057258515391	0.259603123968541	0.636646605847253	0.0761641763261895	0.384595440679759	0.0500401294511396	0.197135000226675	0.722978918364724	0.512627467854013	0.676015344306355	0.620139635391965	0.642755389609465	0.184583305294144	0.0336333506989322	-1.14022541061991	0.0916671142695607	-0.491030907100063	-0.0647553534597349	-0.48683328389047	-0.66107095556218	-0.650635099450216	-0.947154884213109	0.0199652770510776	0.64390956637068	-0.324642679256128	0.0273173384665388	0.976405852397227	-0.583953366034513	-0.236690513574575	-1.27567083851064	0.057927656969698
